"","DataItemLong","County","State","year","OrchardAc","StateFips","CountyCode","StateCountyFips"
"113.1992","Land in orchards, total (acres)","CRITTENDEN COUNTY"," AR","1992",131,"05","035","05035"
"114.1992","Land in orchards, total (acres)","CROSS COUNTY"," AR","1992",386,"05","037","05037"
"115.1992","Land in orchards, total (acres)","DALLAS COUNTY"," AR","1992",-9999,"05","039","05039"
"116.1992","Land in orchards, total (acres)","DESHA COUNTY"," AR","1992",36,"05","041","05041"
"117.1992","Land in orchards, total (acres)","DREW COUNTY"," AR","1992",12,"05","043","05043"
"118.1992","Land in orchards, total (acres)","FAULKNER COUNTY"," AR","1992",58,"05","045","05045"
"119.1992","Land in orchards, total (acres)","FRANKLIN COUNTY"," AR","1992",448,"05","047","05047"
"120.1992","Land in orchards, total (acres)","FULTON COUNTY"," AR","1992",7,"05","049","05049"
"121.1992","Land in orchards, total (acres)","GARLAND COUNTY"," AR","1992",21,"05","051","05051"
"122.1992","Land in orchards, total (acres)","GRANT COUNTY"," AR","1992",-9999,"05","053","05053"
"123.1992","Land in orchards, total (acres)","GREENE COUNTY"," AR","1992",52,"05","055","05055"
"124.1992","Land in orchards, total (acres)","HEMPSTEAD COUNTY"," AR","1992",338,"05","057","05057"
"125.1992","Land in orchards, total (acres)","HOT SPRING COUNTY"," AR","1992",34,"05","059","05059"
"126.1992","Land in orchards, total (acres)","HOWARD COUNTY"," AR","1992",266,"05","061","05061"
"127.1992","Land in orchards, total (acres)","INDEPENDENCE COUNTY"," AR","1992",154,"05","063","05063"
"128.1992","Land in orchards, total (acres)","IZARD COUNTY"," AR","1992",20,"05","065","05065"
"129.1992","Land in orchards, total (acres)","JACKSON COUNTY"," AR","1992",110,"05","067","05067"
"130.1992","Land in orchards, total (acres)","JEFFERSON COUNTY"," AR","1992",389,"05","069","05069"
"131.1992","Land in orchards, total (acres)","JOHNSON COUNTY"," AR","1992",427,"05","071","05071"
"132.1992","Land in orchards, total (acres)","LAFAYETTE COUNTY"," AR","1992",51,"05","073","05073"
"133.1992","Land in orchards, total (acres)","LAWRENCE COUNTY"," AR","1992",-9999,"05","075","05075"
"134.1992","Land in orchards, total (acres)","LEE COUNTY"," AR","1992",114,"05","077","05077"
"135.1992","Land in orchards, total (acres)","LINCOLN COUNTY"," AR","1992",17,"05","079","05079"
"136.1992","Land in orchards, total (acres)","LITTLE RIVER COUNTY"," AR","1992",1901,"05","081","05081"
"137.1992","Land in orchards, total (acres)","LOGAN COUNTY"," AR","1992",65,"05","083","05083"
"138.1992","Land in orchards, total (acres)","LONOKE COUNTY"," AR","1992",619,"05","085","05085"
"139.1992","Land in orchards, total (acres)","MADISON COUNTY"," AR","1992",33,"05","087","05087"
"140.1992","Land in orchards, total (acres)","MARION COUNTY"," AR","1992",-9999,"05","089","05089"
"141.1992","Land in orchards, total (acres)","MILLER COUNTY"," AR","1992",706,"05","091","05091"
"142.1992","Land in orchards, total (acres)","MISSISSIPPI COUNTY"," AR","1992",91,"05","093","05093"
"143.1992","Land in orchards, total (acres)","MONROE COUNTY"," AR","1992",-9999,"05","095","05095"
"144.1992","Land in orchards, total (acres)","MONTGOMERY COUNTY"," AR","1992",37,"05","097","05097"
"145.1992","Land in orchards, total (acres)","NEVADA COUNTY"," AR","1992",8,"05","099","05099"
"146.1992","Land in orchards, total (acres)","NEWTON COUNTY"," AR","1992",39,"05","101","05101"
"147.1992","Land in orchards, total (acres)","OUACHITA COUNTY"," AR","1992",-9999,"05","103","05103"
"148.1992","Land in orchards, total (acres)","PERRY COUNTY"," AR","1992",-9999,"05","105","05105"
"149.1992","Land in orchards, total (acres)","PHILLIPS COUNTY"," AR","1992",395,"05","107","05107"
"150.1992","Land in orchards, total (acres)","PIKE COUNTY"," AR","1992",68,"05","109","05109"
"151.1992","Land in orchards, total (acres)","POINSETT COUNTY"," AR","1992",-9999,"05","111","05111"
"152.1992","Land in orchards, total (acres)","POLK COUNTY"," AR","1992",39,"05","113","05113"
"153.1992","Land in orchards, total (acres)","POPE COUNTY"," AR","1992",238,"05","115","05115"
"154.1992","Land in orchards, total (acres)","PRAIRIE COUNTY"," AR","1992",75,"05","117","05117"
"155.1992","Land in orchards, total (acres)","PULASKI COUNTY"," AR","1992",339,"05","119","05119"
"156.1992","Land in orchards, total (acres)","RANDOLPH COUNTY"," AR","1992",11,"05","121","05121"
"157.1992","Land in orchards, total (acres)","ST FRANCIS COUNTY"," AR","1992",1386,"05","123","05123"
"158.1992","Land in orchards, total (acres)","SALINE COUNTY"," AR","1992",79,"05","125","05125"
"159.1992","Land in orchards, total (acres)","SCOTT COUNTY"," AR","1992",-9999,"05","127","05127"
"160.1992","Land in orchards, total (acres)","SEARCY COUNTY"," AR","1992",4,"05","129","05129"
"161.1992","Land in orchards, total (acres)","SEBASTIAN COUNTY"," AR","1992",17,"05","131","05131"
"162.1992","Land in orchards, total (acres)","SEVIER COUNTY"," AR","1992",60,"05","133","05133"
"163.1992","Land in orchards, total (acres)","SHARP COUNTY"," AR","1992",-9999,"05","135","05135"
"164.1992","Land in orchards, total (acres)","STONE COUNTY"," AR","1992",7,"05","137","05137"
"165.1992","Land in orchards, total (acres)","UNION COUNTY"," AR","1992",19,"05","139","05139"
"166.1992","Land in orchards, total (acres)","VAN BUREN COUNTY"," AR","1992",63,"05","141","05141"
"167.1992","Land in orchards, total (acres)","WASHINGTON COUNTY"," AR","1992",1137,"05","143","05143"
"168.1992","Land in orchards, total (acres)","WHITE COUNTY"," AR","1992",470,"05","145","05145"
"169.1992","Land in orchards, total (acres)","WOODRUFF COUNTY"," AR","1992",69,"05","147","05147"
"170.1992","Land in orchards, total (acres)","YELL COUNTY"," AR","1992",-9999,"05","149","05149"
"171.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," AK","1992",-9999,"05","998","05998"
"173.1992","Land in orchards, total (acres)","ALAMEDA COUNTY"," CA","1992",2130,"06","001","06001"
"174.1992","Land in orchards, total (acres)","ALPINE COUNTY"," CA","1992",-9999,"06","003","06003"
"175.1992","Land in orchards, total (acres)","AMADOR COUNTY"," CA","1992",3465,"06","005","06005"
"176.1992","Land in orchards, total (acres)","BUTTE COUNTY"," CA","1992",72103,"06","007","06007"
"177.1992","Land in orchards, total (acres)","CALAVERAS COUNTY"," CA","1992",1574,"06","009","06009"
"178.1992","Land in orchards, total (acres)","COLUSA COUNTY"," CA","1992",22915,"06","011","06011"
"179.1992","Land in orchards, total (acres)","CONTRA COSTA COUNTY"," CA","1992",5420,"06","013","06013"
"180.1992","Land in orchards, total (acres)","DEL NORTE COUNTY"," CA","1992",-9999,"06","015","06015"
"181.1992","Land in orchards, total (acres)","EL DORADO COUNTY"," CA","1992",3136,"06","017","06017"
"182.1992","Land in orchards, total (acres)","FRESNO COUNTY"," CA","1992",367375,"06","019","06019"
"183.1992","Land in orchards, total (acres)","GLENN COUNTY"," CA","1992",39104,"06","021","06021"
"184.1992","Land in orchards, total (acres)","HUMBOLDT COUNTY"," CA","1992",314,"06","023","06023"
"185.1992","Land in orchards, total (acres)","IMPERIAL COUNTY"," CA","1992",2969,"06","025","06025"
"186.1992","Land in orchards, total (acres)","INYO COUNTY"," CA","1992",29,"06","027","06027"
"187.1992","Land in orchards, total (acres)","KERN COUNTY"," CA","1992",236526,"06","029","06029"
"188.1992","Land in orchards, total (acres)","KINGS COUNTY"," CA","1992",22587,"06","031","06031"
"189.1992","Land in orchards, total (acres)","LAKE COUNTY"," CA","1992",16238,"06","033","06033"
"190.1992","Land in orchards, total (acres)","LASSEN COUNTY"," CA","1992",27,"06","035","06035"
"191.1992","Land in orchards, total (acres)","LOS ANGELES COUNTY"," CA","1992",3231,"06","037","06037"
"192.1992","Land in orchards, total (acres)","MADERA COUNTY"," CA","1992",151095,"06","039","06039"
"193.1992","Land in orchards, total (acres)","MARIN COUNTY"," CA","1992",167,"06","041","06041"
"194.1992","Land in orchards, total (acres)","MARIPOSA COUNTY"," CA","1992",191,"06","043","06043"
"195.1992","Land in orchards, total (acres)","MENDOCINO COUNTY"," CA","1992",18438,"06","045","06045"
"196.1992","Land in orchards, total (acres)","MERCED COUNTY"," CA","1992",117902,"06","047","06047"
"197.1992","Land in orchards, total (acres)","MODOC COUNTY"," CA","1992",33,"06","049","06049"
"198.1992","Land in orchards, total (acres)","MONO COUNTY"," CA","1992",63,"06","051","06051"
"199.1992","Land in orchards, total (acres)","MONTEREY COUNTY"," CA","1992",36561,"06","053","06053"
"200.1992","Land in orchards, total (acres)","NAPA COUNTY"," CA","1992",44559,"06","055","06055"
"201.1992","Land in orchards, total (acres)","NEVADA COUNTY"," CA","1992",529,"06","057","06057"
"202.1992","Land in orchards, total (acres)","ORANGE COUNTY"," CA","1992",6861,"06","059","06059"
"203.1992","Land in orchards, total (acres)","PLACER COUNTY"," CA","1992",3634,"06","061","06061"
"204.1992","Land in orchards, total (acres)","PLUMAS COUNTY"," CA","1992",-9999,"06","063","06063"
"205.1992","Land in orchards, total (acres)","RIVERSIDE COUNTY"," CA","1992",73496,"06","065","06065"
"206.1992","Land in orchards, total (acres)","SACRAMENTO COUNTY"," CA","1992",15796,"06","067","06067"
"207.1992","Land in orchards, total (acres)","SAN BENITO COUNTY"," CA","1992",8661,"06","069","06069"
"208.1992","Land in orchards, total (acres)","SAN BERNARDINO COUNTY"," CA","1992",9778,"06","071","06071"
"209.1992","Land in orchards, total (acres)","SAN DIEGO COUNTY"," CA","1992",54025,"06","073","06073"
"210.1992","Land in orchards, total (acres)","SAN FRANCISCO COUNTY"," CA","1992",-9999,"06","075","06075"
"211.1992","Land in orchards, total (acres)","SAN JOAQUIN COUNTY"," CA","1992",148608,"06","077","06077"
"212.1992","Land in orchards, total (acres)","SAN LUIS OBISPO COUNTY"," CA","1992",20593,"06","079","06079"
"213.1992","Land in orchards, total (acres)","SAN MATEO COUNTY"," CA","1992",384,"06","081","06081"
"214.1992","Land in orchards, total (acres)","SANTA BARBARA COUNTY"," CA","1992",23862,"06","083","06083"
"215.1992","Land in orchards, total (acres)","SANTA CLARA COUNTY"," CA","1992",5012,"06","085","06085"
"216.1992","Land in orchards, total (acres)","SANTA CRUZ COUNTY"," CA","1992",8902,"06","087","06087"
"217.1992","Land in orchards, total (acres)","SHASTA COUNTY"," CA","1992",1539,"06","089","06089"
"218.1992","Land in orchards, total (acres)","SIERRA COUNTY"," CA","1992",-9999,"06","091","06091"
"219.1992","Land in orchards, total (acres)","SISKIYOU COUNTY"," CA","1992",154,"06","093","06093"
"220.1992","Land in orchards, total (acres)","SOLANO COUNTY"," CA","1992",13833,"06","095","06095"
"221.1992","Land in orchards, total (acres)","SONOMA COUNTY"," CA","1992",48812,"06","097","06097"
"222.1992","Land in orchards, total (acres)","STANISLAUS COUNTY"," CA","1992",142989,"06","099","06099"
"223.1992","Land in orchards, total (acres)","SUTTER COUNTY"," CA","1992",57479,"06","101","06101"
"224.1992","Land in orchards, total (acres)","TEHAMA COUNTY"," CA","1992",35422,"06","103","06103"
"225.1992","Land in orchards, total (acres)","TRINITY COUNTY"," CA","1992",145,"06","105","06105"
"226.1992","Land in orchards, total (acres)","TULARE COUNTY"," CA","1992",282903,"06","107","06107"
"227.1992","Land in orchards, total (acres)","TUOLUMNE COUNTY"," CA","1992",276,"06","109","06109"
"228.1992","Land in orchards, total (acres)","VENTURA COUNTY"," CA","1992",58710,"06","111","06111"
"229.1992","Land in orchards, total (acres)","YOLO COUNTY"," CA","1992",23752,"06","113","06113"
"230.1992","Land in orchards, total (acres)","YUBA COUNTY"," CA","1992",31441,"06","115","06115"
"231.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," CA","1992",-9999,"06","998","06998"
"233.1992","Land in orchards, total (acres)","ADAMS COUNTY"," CO","1992",-9999,"08","001","08001"
"234.1992","Land in orchards, total (acres)","ALAMOSA COUNTY"," CO","1992",-9999,"08","003","08003"
"235.1992","Land in orchards, total (acres)","ARAPAHOE COUNTY"," CO","1992",-9999,"08","005","08005"
"236.1992","Land in orchards, total (acres)","ARCHULETA COUNTY"," CO","1992",-9999,"08","007","08007"
"237.1992","Land in orchards, total (acres)","BACA COUNTY"," CO","1992",-9999,"08","009","08009"
"238.1992","Land in orchards, total (acres)","BENT COUNTY"," CO","1992",-9999,"08","011","08011"
"239.1992","Land in orchards, total (acres)","BOULDER COUNTY"," CO","1992",14,"08","013","08013"
"240.1992","Land in orchards, total (acres)","CHAFFEE COUNTY"," CO","1992",5,"08","015","08015"
"241.1992","Land in orchards, total (acres)","CHEYENNE COUNTY"," CO","1992",-9999,"08","017","08017"
"242.1992","Land in orchards, total (acres)","CLEAR CREEK COUNTY"," CO","1992",-9999,"08","019","08019"
"243.1992","Land in orchards, total (acres)","CONEJOS COUNTY"," CO","1992",-9999,"08","021","08021"
"244.1992","Land in orchards, total (acres)","COSTILLA COUNTY"," CO","1992",-9999,"08","023","08023"
"245.1992","Land in orchards, total (acres)","CROWLEY COUNTY"," CO","1992",6,"08","025","08025"
"246.1992","Land in orchards, total (acres)","CUSTER COUNTY"," CO","1992",-9999,"08","027","08027"
"247.1992","Land in orchards, total (acres)","DELTA COUNTY"," CO","1992",5054,"08","029","08029"
"248.1992","Land in orchards, total (acres)","DENVER COUNTY"," CO","1992",-9999,"08","031","08031"
"249.1992","Land in orchards, total (acres)","DOLORES COUNTY"," CO","1992",-9999,"08","033","08033"
"250.1992","Land in orchards, total (acres)","DOUGLAS COUNTY"," CO","1992",-9999,"08","035","08035"
"251.1992","Land in orchards, total (acres)","EAGLE COUNTY"," CO","1992",-9999,"08","037","08037"
"252.1992","Land in orchards, total (acres)","ELBERT COUNTY"," CO","1992",4,"08","039","08039"
"253.1992","Land in orchards, total (acres)","EL PASO COUNTY"," CO","1992",8,"08","041","08041"
"254.1992","Land in orchards, total (acres)","FREMONT COUNTY"," CO","1992",445,"08","043","08043"
"255.1992","Land in orchards, total (acres)","GARFIELD COUNTY"," CO","1992",92,"08","045","08045"
"256.1992","Land in orchards, total (acres)","GILPIN COUNTY"," CO","1992",-9999,"08","047","08047"
"257.1992","Land in orchards, total (acres)","GRAND COUNTY"," CO","1992",-9999,"08","049","08049"
"258.1992","Land in orchards, total (acres)","GUNNISON COUNTY"," CO","1992",-9999,"08","051","08051"
"259.1992","Land in orchards, total (acres)","HINSDALE COUNTY"," CO","1992",-9999,"08","053","08053"
"260.1992","Land in orchards, total (acres)","HUERFANO COUNTY"," CO","1992",-9999,"08","055","08055"
"261.1992","Land in orchards, total (acres)","JACKSON COUNTY"," CO","1992",-9999,"08","057","08057"
"262.1992","Land in orchards, total (acres)","JEFFERSON COUNTY"," CO","1992",-9999,"08","059","08059"
"263.1992","Land in orchards, total (acres)","KIOWA COUNTY"," CO","1992",-9999,"08","061","08061"
"264.1992","Land in orchards, total (acres)","KIT CARSON COUNTY"," CO","1992",-9999,"08","063","08063"
"265.1992","Land in orchards, total (acres)","LAKE COUNTY"," CO","1992",-9999,"08","065","08065"
"266.1992","Land in orchards, total (acres)","LA PLATA COUNTY"," CO","1992",115,"08","067","08067"
"267.1992","Land in orchards, total (acres)","LARIMER COUNTY"," CO","1992",97,"08","069","08069"
"268.1992","Land in orchards, total (acres)","LAS ANIMAS COUNTY"," CO","1992",-9999,"08","071","08071"
"269.1992","Land in orchards, total (acres)","LINCOLN COUNTY"," CO","1992",-9999,"08","073","08073"
"270.1992","Land in orchards, total (acres)","LOGAN COUNTY"," CO","1992",-9999,"08","075","08075"
"271.1992","Land in orchards, total (acres)","MESA COUNTY"," CO","1992",3142,"08","077","08077"
"272.1992","Land in orchards, total (acres)","MINERAL COUNTY"," CO","1992",-9999,"08","079","08079"
"273.1992","Land in orchards, total (acres)","MOFFAT COUNTY"," CO","1992",-9999,"08","081","08081"
"274.1992","Land in orchards, total (acres)","MONTEZUMA COUNTY"," CO","1992",440,"08","083","08083"
"275.1992","Land in orchards, total (acres)","MONTROSE COUNTY"," CO","1992",481,"08","085","08085"
"276.1992","Land in orchards, total (acres)","MORGAN COUNTY"," CO","1992",-9999,"08","087","08087"
"277.1992","Land in orchards, total (acres)","OTERO COUNTY"," CO","1992",16,"08","089","08089"
"278.1992","Land in orchards, total (acres)","OURAY COUNTY"," CO","1992",-9999,"08","091","08091"
"279.1992","Land in orchards, total (acres)","PARK COUNTY"," CO","1992",-9999,"08","093","08093"
"280.1992","Land in orchards, total (acres)","PHILLIPS COUNTY"," CO","1992",-9999,"08","095","08095"
"281.1992","Land in orchards, total (acres)","PITKIN COUNTY"," CO","1992",-9999,"08","097","08097"
"282.1992","Land in orchards, total (acres)","PROWERS COUNTY"," CO","1992",-9999,"08","099","08099"
"283.1992","Land in orchards, total (acres)","PUEBLO COUNTY"," CO","1992",34,"08","101","08101"
"284.1992","Land in orchards, total (acres)","RIO BLANCO COUNTY"," CO","1992",-9999,"08","103","08103"
"285.1992","Land in orchards, total (acres)","RIO GRANDE COUNTY"," CO","1992",-9999,"08","105","08105"
"286.1992","Land in orchards, total (acres)","ROUTT COUNTY"," CO","1992",-9999,"08","107","08107"
"287.1992","Land in orchards, total (acres)","SAGUACHE COUNTY"," CO","1992",-9999,"08","109","08109"
