StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01021,508,887,0,15,1450,12,14,0,25,0,0,0,0,0,6,0,339,0,1,7,0,0,0,0,0,0,2,7688,0,0,0,0,0,0,0,0,0,33,0,0,0,140,0,0,0,0,0,50,0,257,0,6,5,0,0,0,0,26,0,0,0,0,5992,0,19405,4667,1530,387,1033,165913,107592,14430,60890,54261,877,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,887,15,1789,0,0,345,1,0,0
AL,01023,70,520,0,0,109,0,5,0,0,0,0,0,0,0,6,0,2,0,2,3,0,0,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,528,0,0,0,0,0,0,0,5,0,0,0,2,6078,0,17547,963,469,133,249,99447,204844,79174,89486,24694,63495,113,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,70,522,0,111,0,0,10,2,0,0
AL,01025,170,550,0,32,117,4,286,0,0,0,0,0,0,0,12,0,18,0,5,37,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,13,0,697,0,0,0,0,0,0,0,54,0,0,0,0,9889,0,21143,1881,990,343,939,78577,291188,108818,114848,34933,131916,1610,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,171,557,32,135,0,0,37,6,0,0
AL,01027,601,30,0,2,217,0,0,0,0,0,0,0,0,0,3,0,29,4,0,1,0,0,0,0,0,0,0,4526,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,80,0,0,0,0,0,0,0,3,0,0,0,0,1360,0,13009,534,253,82,396,202617,106977,219,22573,34230,88,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,30,2,246,0,0,32,0,0,0
AL,01029,1098,54,0,82,241,0,1,0,0,0,0,0,0,0,2,0,19,56,17,17,0,0,0,0,0,0,0,3502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,12879,1914,485,80,377,169528,112868,2163,22464,29504,125,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,54,82,260,0,0,21,17,0,0
AL,01031,7151,16549,0,437,6597,1,13274,0,0,0,0,0,0,0,314,0,30,57,1277,1670,0,0,0,0,0,0,0,31506,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,0,0,6,4,374,0,4100,0,4,0,0,0,0,0,261,0,0,0,5,3642,0,21529,4641,1648,518,55,47882,131321,38886,72513,15336,13454,281,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,1,0,95,5,0,1,0,0,0,0,0,0,0,0,0,7200,16644,438,6632,0,0,441,1330,0,0
AL,01033,19264,3199,0,288,9278,0,24,0,0,0,0,0,0,0,420,0,18780,0,0,1,0,3,0,0,0,0,0,3935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,0,270,0,1,0,0,0,0,0,0,0,0,0,3,19426,0,19995,8865,3315,1201,900,157831,25506,5650,46292,48640,5911,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19264,3199,295,28058,0,0,19207,0,0,0
AL,01035,1258,7721,0,36,758,3,1778,0,0,0,0,0,0,0,211,0,19,156,84,39,0,0,0,0,0,0,0,15436,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,43,0,691,0,0,0,0,0,0,0,86,0,0,0,0,1988,0,14857,1754,395,110,564,95537,240417,28526,81979,30290,20986,157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1258,7723,38,777,0,0,234,84,1,0
AL,01037,100,70,0,2,271,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,1293,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,52,0,0,0,0,0,0,0,1,0,0,0,0,10049,0,17589,791,165,18,328,192221,145694,2550,36228,18712,310,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,70,2,287,0,0,16,0,0,0
AL,01039,4599,18459,0,96,4858,7,6596,0,0,0,0,0,0,0,131,0,22,90,144,513,0,0,0,0,0,0,0,26585,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,28,32,876,0,6371,0,6,0,0,0,0,0,622,0,0,0,0,7905,0,31353,4781,1250,419,207,68883,277237,53993,88288,40945,22388,266,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,103,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4703,18459,98,4883,0,0,156,250,2,0
AL,01041,2048,1178,0,45,1645,15,1172,0,0,0,0,0,0,0,469,0,199,25,82,36,0,0,0,0,0,0,0,19349,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,50,15,0,2400,0,0,0,0,0,0,0,122,0,0,0,3,2254,0,15575,1556,308,68,77,119098,115366,10583,57324,18628,21105,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,1178,80,1844,0,0,703,150,0,0
AL,01043,3015,646,0,157,10921,0,6,0,0,0,0,0,0,0,66,0,1737,0,0,19,0,10,0,0,0,0,14,12616,0,0,0,0,8,0,0,528,0,28,0,0,0,0,0,0,0,0,2,22,0,121,0,0,1,0,0,0,0,2,0,0,0,0,10902,0,27000,10560,3805,1277,986,162769,41037,10695,49035,133313,1669,69,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3015,646,180,12663,0,0,1826,5,0,0
AL,01045,1595,12488,0,374,461,0,10767,0,0,0,0,0,0,1,242,0,14,3985,2033,319,0,0,0,0,0,0,0,16533,0,0,0,0,0,20,0,0,0,2,0,18,0,0,0,0,0,25,12,515,0,14170,0,0,0,0,0,0,0,150,0,0,0,0,2499,0,17957,5718,2296,924,53,65800,106010,13255,61957,4329,15322,191,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,50,36,0,7,0,0,0,0,0,0,0,0,0,1597,12538,377,511,0,0,310,2070,0,0
AL,01047,4039,10318,0,173,12874,0,1318,0,0,0,0,0,0,0,1933,0,530,0,5,82,0,0,0,0,0,0,0,33950,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,168,0,3557,0,0,0,0,0,0,0,299,0,0,0,0,16251,0,29033,4898,2056,823,723,116777,138909,17821,74109,55709,106047,3560,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4042,10319,188,13407,0,0,2479,11,3,0
AL,01049,10790,434,0,14,16846,1,0,0,31,0,0,0,0,0,61,0,3012,1,30,8,0,7,0,0,0,0,0,19424,0,0,0,0,171,0,0,0,0,8,0,0,0,1,0,0,0,0,0,30,0,403,0,3,2,0,28,0,0,1,0,0,0,0,2048,0,25496,8678,2824,964,881,174939,28891,34795,35830,130506,701,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,81,0,0,0,383,0,0,0,0,0,0,0,0,0,0,31,10790,434,14,20272,31,0,3073,413,0,0
AL,01051,2983,9202,0,171,3837,73,233,0,0,0,0,0,0,0,85,0,501,6,32,17,0,0,0,0,0,0,0,16634,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,6,123,0,10887,0,0,1,0,0,0,0,37,0,0,0,0,24916,0,22670,5891,2082,493,1151,134368,75464,18026,45063,28635,16507,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2989,9202,184,4339,0,0,599,39,0,0
AL,01053,6372,27802,0,635,4531,1,14530,0,0,0,0,0,0,0,122,0,409,16,6,1111,0,0,0,0,0,0,0,12221,0,0,0,0,0,12,0,5,2,0,0,0,0,0,0,0,0,0,0,209,0,2931,0,0,0,0,9,0,0,139,0,0,0,0,4697,0,17315,5354,1572,467,2079,14065,280987,20238,95253,32239,63220,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,425,1,0,0,0,0,0,0,0,0,0,0,0,6378,28227,637,4941,0,0,958,13,0,0
AL,01055,2969,3986,0,14,4503,0,1,0,0,0,0,0,0,0,16,0,586,0,0,3,0,6,0,0,0,0,0,6219,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,0,3619,0,1,0,0,6,0,0,0,0,0,0,0,9236,0,31317,16260,4606,2140,523,132978,38256,16695,24702,50802,1688,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2969,3986,14,5096,0,0,602,7,0,0
AL,01057,1838,1562,0,51,3130,0,3,0,0,0,0,0,0,0,40,0,58,0,0,0,0,0,0,0,0,0,0,8756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1587,0,0,0,0,0,0,0,0,0,0,0,3,1405,0,15113,1251,513,168,348,170570,81042,25758,69160,10682,9669,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1838,1562,51,3188,0,0,98,0,0,0
AL,01059,1567,326,0,46,7017,0,3,0,0,0,0,0,0,0,649,0,1044,0,0,0,0,1,0,0,0,0,0,7825,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,8,0,149,0,0,0,0,0,0,0,0,0,0,0,7,8185,0,15996,4752,1850,456,637,178830,46937,7998,68842,58838,1771,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,326,56,8061,0,0,1703,0,0,0
AL,01061,7348,26548,0,780,4436,0,25801,0,0,0,0,0,0,126,290,0,29,718,1798,3857,0,0,0,0,0,0,0,24195,0,0,0,0,0,0,0,0,0,2,0,27,0,14,0,0,0,96,4,770,0,15189,0,0,1,0,0,0,0,77,0,0,0,0,3758,0,17577,2269,477,138,40,9257,119374,6653,52454,17085,28699,284,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,52,0,0,0,0,56,20,0,151,0,0,0,0,0,0,0,0,0,7425,26604,780,4485,0,0,400,1870,0,0
AL,01063,1236,112,0,3,1208,0,9,0,0,0,0,0,0,0,18,0,36,0,0,0,0,0,0,0,0,0,0,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,58899,0,0,0,0,0,0,0,6,0,0,0,69,12467,0,15572,1389,265,76,56,75227,65862,22261,42226,16410,104395,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1236,113,3,1244,0,0,55,0,0,0
AL,01065,1694,35,0,25,6332,0,158,0,0,0,0,0,0,0,57,0,680,0,0,0,0,0,0,0,0,0,0,13082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,3057,0,0,0,0,0,0,0,4,0,0,0,354,18569,0,14444,1261,234,42,184,88070,56692,29093,42352,69900,73591,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,35,39,7012,0,0,751,0,0,0
AL,01067,1681,19562,0,930,1301,0,18766,0,0,0,0,0,0,0,541,0,120,6915,2686,402,0,0,0,0,0,0,0,22797,0,0,0,0,0,40,0,0,0,2,0,16,0,0,0,0,0,4,18,1556,0,11003,0,0,0,0,0,0,0,85,0,0,0,0,5356,0,12986,3214,557,129,109,55577,101945,16939,63671,4147,9267,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,2,0,0,1,0,930,69,0,37,0,0,0,0,0,0,0,0,0,1859,20492,931,1490,0,0,1768,2757,0,0
AL,01069,1755,26032,0,1111,1331,0,39185,0,0,0,0,0,0,0,262,0,85,1778,1605,677,0,0,0,0,0,0,0,32952,0,0,0,0,0,5,0,0,0,21,0,1400,0,4,0,0,0,126,4,526,0,30848,0,0,1,0,0,0,0,186,0,0,0,0,2112,0,22786,10656,3816,1938,62,13420,93475,2252,46022,9222,26039,236,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,1,0,0,0,0,96,13,0,0,0,0,0,0,0,0,0,0,0,1944,26128,1111,1429,0,0,631,1619,0,0
AL,01071,22592,2456,0,276,32853,0,1,0,36,0,0,0,0,0,70,0,4886,0,1,17,0,23,0,0,0,0,9,13985,0,0,0,0,181,0,0,0,0,6,0,0,0,0,0,0,0,0,0,22,0,610,0,13,56,0,42,0,0,7,0,0,0,0,31328,0,20252,7594,2475,969,431,401445,25473,23714,38503,83523,6880,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,274,1,0,21,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,22867,2456,276,37763,0,0,5230,26,0,0
AL,01073,294,50,0,23,509,0,3,0,0,0,0,0,0,0,5,0,53,0,0,17,0,0,0,0,0,0,2,2717,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,128,0,0,0,0,0,0,0,1,0,0,0,0,9068,0,99003,67445,28593,11850,7162,259517,132066,16198,51589,31299,1583,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,50,24,562,0,0,59,0,0,0
AL,01075,823,925,0,13,1825,0,638,0,0,0,0,0,0,0,74,0,175,0,0,0,0,0,0,0,0,0,0,6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1422,0,0,0,0,0,0,0,2,0,0,0,1,1427,0,15536,1475,430,115,94,155259,51460,20636,78958,13744,36025,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,823,997,13,2000,0,0,321,0,0,0
AL,01077,21419,7659,0,293,16891,0,4,0,0,0,0,0,0,0,289,0,15340,0,1,1,0,2,0,0,0,0,0,14572,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,6,187,0,307,0,4,1,0,0,0,0,2,0,0,0,0,31403,0,29793,8615,2853,920,201,151680,14952,4403,41337,90427,6062,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,109,0,0,11,0,0,83,0,0,0,0,0,0,0,0,0,0,0,21598,7659,304,32314,0,0,15710,193,0,0
AL,01079,22154,5085,0,691,25943,0,872,0,0,0,0,0,0,0,460,0,23086,0,0,28,0,1,0,0,0,0,0,9854,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,42,0,187,0,0,0,0,0,0,0,0,0,0,0,0,16562,0,17492,3732,1467,386,417,149390,35421,17237,31889,84019,13104,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22154,5085,704,49029,0,0,23559,0,0,0
AL,01081,359,449,0,31,1786,10,402,0,0,0,0,0,0,0,140,0,8,26,73,6,0,0,0,0,0,0,0,5124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,129,0,729,0,736,0,0,0,0,0,0,0,27,0,0,0,0,7931,0,26961,16224,5236,1788,1047,134814,98131,3908,50419,35838,1774,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,372,457,31,1796,0,0,156,88,0,0
AL,01083,17716,6957,0,2572,49355,1,8,0,0,0,0,0,0,0,508,0,35023,183,11,26,0,65,0,0,0,0,6,8991,0,0,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,0,1,22,0,151,0,0,0,0,0,0,0,3,0,0,0,0,25386,0,21072,8268,2886,677,424,91971,9002,4503,22133,70652,9884,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,95,0,0,2,0,0,0,0,0,0,0,0,0,0,4,17718,6957,2667,84384,4,0,35628,13,0,0
AL,01085,1739,1591,0,50,6063,9,130,0,0,0,0,0,0,0,293,0,56,0,19,10,0,0,0,0,0,0,0,35454,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,916,0,7504,0,0,0,0,0,0,0,512,0,0,0,0,7365,0,18095,1891,362,101,160,105572,94334,5542,63988,52237,58344,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1748,1591,50,6120,0,0,349,29,0,0
AL,01087,645,4492,0,130,2533,0,339,0,0,0,0,0,0,0,508,0,6,70,194,14,0,0,0,0,0,0,0,7898,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,584,30,1977,0,4978,0,0,0,0,0,0,0,236,0,0,0,0,4679,0,17105,3215,744,146,1084,76285,91189,41054,60989,26250,44528,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,19,5,0,0,0,0,0,0,0,0,0,0,0,653,4511,137,2544,0,0,540,207,0,0
AL,01089,25735,19821,0,250,33708,0,15,0,0,0,0,0,0,0,228,0,24371,1,1,92,0,2,0,0,0,0,4,8897,0,0,0,0,1,0,0,50,0,1,0,0,0,0,0,0,0,0,0,19,0,204,0,1,0,0,8,0,0,4,0,0,0,0,5910,0,55870,42588,13380,4758,906,155483,14070,4011,21881,76916,10664,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25741,19821,307,58079,0,0,24662,1,0,0
AL,01091,2177,3209,0,144,6532,0,9,0,0,0,0,0,0,0,63,0,577,0,0,0,0,0,0,0,0,0,0,10470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7747,0,0,0,0,0,0,0,16,0,0,0,67,8308,0,21556,2526,1018,293,378,91185,158196,51859,84521,77100,100746,308,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2179,3218,151,7109,0,0,656,2,0,0
