StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01021,549,632,0,2,760,0,101,0,3,0,0,0,0,0,260,0,162,0,1,6,0,0,0,0,0,0,0,3663,0,0,0,1,0,22,0,4,1,40,0,0,0,0,10,15,0,0,0,0,34,0,618,0,164,0,0,0,0,0,31,0,0,0,0,5394,0,19189,4388,1210,273,466,170298,98661,16761,43466,80600,706,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,632,2,922,0,0,422,1,0,0
AL,01023,87,580,0,0,263,0,97,0,0,0,0,0,0,0,36,0,38,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,4,5891,0,17558,988,370,89,57,116838,176194,107586,66772,28091,66979,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,581,0,301,0,0,77,0,0,0
AL,01025,252,580,0,0,458,1,662,0,0,0,0,0,0,0,167,0,98,0,4,1,0,0,0,0,0,0,0,2056,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,14,0,0,0,6,9908,0,21244,1846,823,304,425,108176,293482,131105,52051,36306,140558,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,257,598,0,573,0,0,271,4,0,0
AL,01027,420,17,0,1,290,0,1,0,0,0,0,0,0,0,6,0,106,0,3,1,0,0,0,0,0,0,0,2051,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,161,0,0,0,0,0,0,0,14,0,0,0,0,1088,0,12954,554,192,43,121,212017,99756,330,4005,53661,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,17,1,396,0,0,112,3,0,0
AL,01029,195,35,0,0,743,0,7,0,0,0,0,0,0,0,8,0,173,0,18,82,0,0,0,0,0,0,0,1543,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,243,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,12823,1984,403,93,51,183620,95607,1338,4640,54278,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,35,0,916,0,0,181,18,0,0
AL,01031,7594,13679,0,95,4695,0,11228,0,0,0,0,0,0,0,1472,0,407,42,589,965,0,0,0,0,0,0,0,18730,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,0,0,0,0,13,702,0,35774,0,0,0,0,0,7,0,248,0,0,0,3,3137,0,19528,4172,1247,440,44,54265,122401,43480,47040,26136,16129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,986,0,25,3,0,0,0,0,0,0,0,0,0,0,7646,14665,95,5130,0,0,2912,616,0,0
AL,01033,20488,2646,0,1,13165,4,2,0,0,0,0,0,0,0,543,0,12399,0,0,2,0,0,0,0,0,0,0,6481,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,261,0,0,0,0,0,0,0,0,0,0,0,37,19275,0,19326,9086,3053,1109,438,158474,19854,7252,32047,66331,6492,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20489,2646,1,25564,0,0,12943,0,0,0
AL,01035,1828,4451,0,1,2656,0,1965,0,0,0,0,0,0,0,187,0,476,216,165,51,0,0,0,0,0,0,0,10996,0,0,0,20,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3803,0,0,0,0,0,0,0,108,0,0,0,0,1783,0,14854,1732,311,77,320,119643,221341,28878,43497,63689,22526,169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1888,4499,1,3133,0,0,771,166,0,0
AL,01037,125,41,0,0,368,0,1,0,0,0,0,0,0,0,4,0,109,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,3,0,0,0,0,9594,0,17618,841,110,11,205,213513,131913,821,9345,40928,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,41,0,477,0,0,113,0,0,0
AL,01039,3754,12937,0,77,2474,0,8370,0,0,0,0,0,0,0,439,0,411,194,105,550,0,0,0,0,0,0,0,21169,0,0,0,2,0,51,0,18,0,5,0,0,0,0,16,0,0,0,0,1,938,0,27538,0,1,0,0,0,2,0,474,0,0,0,0,7300,0,30728,4798,1022,349,95,69936,276829,52160,56489,66290,22173,199,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,87,0,77,3,0,0,0,0,0,0,0,0,0,0,3760,13024,77,2965,0,0,940,182,0,0
AL,01041,3292,1908,0,35,1261,0,1150,0,0,0,0,0,0,0,73,0,95,63,23,191,0,0,0,0,0,0,0,15562,0,0,0,1,0,3,0,12,2,3,0,0,0,0,6,5,0,0,0,0,29,0,4057,0,0,0,0,0,0,0,112,0,0,0,0,1877,0,15627,1564,243,51,65,124034,111975,14019,36716,37018,19781,56,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,3309,1938,35,1357,0,0,198,41,0,0
AL,01043,3557,229,0,7,8002,2,2,0,2,1,0,0,0,0,66,0,801,2,0,29,0,0,0,0,0,0,0,7441,0,0,0,45,17,15,0,609,0,4,0,0,0,0,0,0,0,0,0,0,15,0,127,0,1,0,0,0,0,0,8,0,0,0,1,10304,0,25094,10299,2993,1124,743,155034,31603,9467,21036,193871,504,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3558,229,12,8803,0,0,873,0,0,0
AL,01045,3052,8191,0,42,441,0,13983,0,0,0,0,0,0,0,1009,0,183,225,443,254,0,0,0,0,0,0,0,12163,0,0,0,0,0,6,0,0,0,0,0,14,0,0,3,0,0,0,0,1,278,0,27221,0,0,0,0,0,20,0,163,0,0,0,0,2168,0,17126,5504,2091,875,25,77197,93228,15300,45248,16354,16861,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,3,0,353,0,16,0,0,0,0,0,0,0,0,0,0,0,3080,8544,45,640,0,0,1563,472,0,0
AL,01047,5556,5055,0,9,10486,0,3634,0,0,0,0,0,0,0,1965,0,2021,36,181,14,0,0,0,0,0,0,0,35998,0,0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,1,230,0,1624,0,3,0,0,0,0,0,1509,0,0,0,8,15494,0,29555,4931,1779,624,219,114443,132496,19495,51062,79602,114224,3656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,1,37,0,0,0,0,0,0,0,0,0,0,0,5557,5092,9,12545,0,0,4023,218,0,0
AL,01049,15641,35,0,51,17934,0,0,0,4,0,0,0,0,0,154,0,2424,3,10,2,0,0,0,0,0,0,0,19448,0,0,0,0,57,5,0,0,6,66,0,0,0,0,0,0,0,0,0,0,37,0,161,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,23745,8665,2422,815,121,170269,23342,35323,10364,165741,234,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15641,35,55,20358,0,0,2582,10,0,0
AL,01051,2421,10263,0,5,1845,0,886,0,2,0,0,0,0,0,630,0,523,7,111,46,0,0,0,0,0,0,0,14884,0,0,0,0,0,11,0,9,1,11,0,0,0,0,1,1,0,0,0,0,452,0,2500,0,2,0,0,0,3,0,143,0,0,0,0,23956,0,21061,4911,1565,313,327,133004,77016,14310,31461,57759,20014,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2422,10266,5,2368,0,0,1157,111,0,0
AL,01053,6518,15637,0,2,6816,3,12024,0,0,0,0,0,0,0,409,0,6215,41,203,180,0,0,0,0,0,0,0,9680,0,0,0,1,0,4,0,4,2,10,0,0,0,0,0,0,0,0,0,0,1119,0,9672,0,0,0,0,0,0,0,313,0,0,0,0,3882,0,17143,5246,1239,365,1125,17715,270846,22857,71435,67114,60517,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1013,2,38,0,0,0,0,0,0,0,0,0,0,0,6520,16652,2,13071,0,0,7639,241,0,0
AL,01055,3614,698,0,6,9000,0,2,0,6,0,0,0,0,0,5,0,821,0,0,0,0,0,0,0,0,0,0,6382,0,0,0,0,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,80,0,1783,0,2,0,0,0,0,0,0,0,0,0,0,8615,0,27561,15663,3472,1865,252,136750,30106,11059,8945,83129,1356,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3615,698,6,9828,0,0,826,6,0,0
AL,01057,1871,57,0,1,4400,0,6,0,0,0,0,0,0,0,21,0,116,0,10,0,0,0,0,0,0,0,0,5693,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,2789,0,0,0,0,0,0,0,0,0,0,0,5,1061,0,14993,1284,451,165,331,189696,69657,28361,43189,29084,9503,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1875,57,8,4520,0,0,144,10,0,0
AL,01059,3132,447,0,14,5357,7,6,0,0,0,0,0,0,0,45,0,1164,0,0,13,0,0,0,0,0,0,0,4104,0,0,0,0,0,128,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,149,0,0,0,0,0,0,0,0,0,0,0,25,7552,0,15131,5031,1503,336,473,185223,39280,7758,49931,85308,1539,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3134,447,14,6522,0,0,1210,0,0,0
AL,01061,6642,22918,0,303,3258,4,26984,0,0,0,0,0,0,0,769,0,451,197,1074,336,0,0,0,0,0,0,0,15439,0,0,0,0,0,3,0,0,0,17,0,0,0,0,36,0,0,0,0,0,923,0,54726,0,0,0,0,0,126,0,149,0,0,0,0,3746,0,15279,1876,393,130,22,9802,104671,7231,42233,23698,26389,243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,202,0,188,27,0,0,0,0,0,0,0,0,0,0,6671,23120,304,3924,0,0,1425,1262,1,0
AL,01063,567,186,0,0,1780,2,21,0,0,0,0,0,0,0,144,0,166,0,0,0,0,0,0,0,0,0,0,5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,23865,0,0,0,0,0,0,0,9,0,0,0,1279,14430,0,15916,1334,200,63,112,86413,49140,27840,27579,51102,113337,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,186,196,1946,0,0,525,0,0,0
AL,01065,1938,111,0,1,3882,1,607,0,0,0,0,0,0,0,225,0,543,0,2,0,0,0,0,0,0,0,0,15275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,7505,0,0,0,0,0,0,0,8,0,0,0,4677,13353,0,13958,1315,217,58,204,98821,50761,32233,25862,76328,71581,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,111,28,4425,0,0,818,2,0,0
AL,01067,4678,14149,0,315,1235,0,27676,0,0,0,0,0,0,0,1477,0,298,387,229,557,0,0,0,0,0,0,0,14053,0,0,0,0,0,10,0,0,1,0,0,9,0,0,19,0,0,0,0,0,656,0,27962,0,0,0,0,0,32,0,237,0,0,0,0,4931,0,11862,2713,522,122,40,72279,86771,16031,43677,19864,10285,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,18,0,348,0,131,0,0,0,0,0,0,0,0,0,0,0,4727,14497,333,1664,0,0,2188,362,0,0
AL,01069,4271,17141,0,107,1567,0,53865,0,0,0,0,0,0,0,1320,0,958,317,418,660,0,0,0,0,0,0,0,22273,0,0,0,0,0,3,0,0,0,8,0,641,0,0,9,0,0,0,0,1,536,0,39760,0,0,0,0,0,204,0,137,0,0,0,0,1950,0,20852,9634,3469,1710,24,20743,76931,2900,36322,25688,27140,99,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,280,0,149,4,1,0,0,0,0,0,0,0,0,0,4278,17421,109,2678,0,0,2562,568,130,0
AL,01071,23374,791,0,6,39513,0,3,0,3,0,0,0,0,0,170,0,3976,5,0,11,0,0,0,0,0,0,0,15184,0,0,0,0,61,34,0,0,2,26,0,0,0,0,0,0,0,0,0,0,4,0,389,0,0,13,0,0,0,0,0,0,0,0,0,30734,0,19052,7636,2133,764,74,388102,18736,21878,19053,117864,11280,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,57,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23431,791,26,43489,0,0,4223,0,0,0
AL,01073,351,44,0,0,1075,0,4,0,0,0,0,0,0,0,29,0,201,0,0,0,0,0,0,0,0,0,0,1618,0,0,0,65,3,4,0,32,0,3,0,0,0,0,0,0,0,0,0,0,4,0,136,0,2,0,0,0,0,0,4,0,0,0,3,8645,0,99349,68075,23496,9970,5065,271914,116431,11408,17520,83099,682,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,352,46,1,1276,0,0,234,0,0,0
AL,01075,1982,540,0,204,1855,5,709,0,0,0,0,0,0,0,41,0,93,0,0,0,0,0,0,0,0,0,0,5218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2048,0,0,0,0,0,0,0,0,0,0,0,37,1141,0,15507,1355,343,82,130,172668,42845,28295,50542,27774,34009,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,540,204,1948,0,0,134,0,0,0
AL,01077,19113,10808,0,4,13238,7,1,0,0,0,0,0,0,0,119,0,12022,12,0,54,0,0,0,0,0,0,0,22403,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,905,0,0,0,0,0,0,0,0,0,0,0,17,31404,0,28333,8608,2242,747,40,148775,12450,4421,22777,116016,5049,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19113,10808,4,25260,0,0,12141,0,0,0
AL,01079,38288,4202,0,2,14629,6,0,0,0,0,0,0,0,0,731,0,13111,2,0,8,0,0,0,0,0,0,0,9691,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,28,0,0,0,0,0,0,0,0,0,0,0,0,16220,0,16932,3604,1221,302,113,147292,31458,15015,14181,116848,15579,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38289,4202,2,27740,0,0,13843,0,0,0
AL,01081,415,538,0,13,190,0,1776,0,0,0,0,0,0,0,85,0,40,16,10,82,0,0,0,0,0,0,0,4407,0,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,173,0,7895,0,1,0,0,0,0,0,53,0,0,0,0,6513,0,25819,14751,3843,1447,275,138806,91415,4560,24027,65667,1357,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,422,549,13,232,0,0,143,12,0,0
AL,01083,24751,8995,0,4,40491,275,2,0,0,1,0,0,0,0,144,0,29237,30,0,17,0,0,0,0,0,0,5,17475,0,0,0,0,0,245,0,8,0,0,0,0,0,0,0,0,0,0,0,24,125,0,68,0,0,0,0,0,0,0,1,0,0,0,0,25103,0,19193,7262,2192,453,113,86981,7256,3472,6807,95635,12172,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,24770,8996,6,69747,0,0,29384,0,0,0
AL,01085,2442,1193,0,71,3297,0,602,0,0,0,0,0,0,0,317,0,650,143,98,28,0,0,0,0,0,0,0,31613,0,0,0,0,0,1,0,10,0,12,0,0,0,0,1,0,0,0,0,23,1363,0,2786,0,0,0,0,0,0,0,1736,0,0,0,0,6477,0,18579,1861,321,75,60,107163,86699,7754,54093,76182,57290,1056,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2444,1194,71,3950,0,0,970,101,0,0
