StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_233,Category_234,Category_235,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01021,2468,2843,0,8,3418,0,456,0,14,0,0,0,0,0,1169,0,727,0,4,26,0,0,0,0,0,0,0,16473,0,0,0,5,0,100,0,18,3,181,0,0,0,0,45,66,0,0,0,0,155,0,2781,0,738,0,0,0,0,0,138,0,0,0,0,24255,0,86282,19731,5441,1229,2096,765747,443632,75367,195446,362418,3173,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2469,2843,8,4146,0,0,1896,6,0,0
AL,01023,392,2610,0,0,1183,0,434,0,0,0,0,0,0,0,163,0,169,0,0,1,0,0,0,0,0,0,0,2872,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,20,26489,0,78952,4442,1665,402,255,525363,792259,483765,300244,126312,301171,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,399,2613,0,1352,0,0,342,0,0,0
AL,01025,1132,2606,0,0,2058,5,2976,0,0,0,0,0,0,0,750,0,439,0,18,5,0,0,0,0,0,0,0,9243,0,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2625,0,1,0,0,0,0,0,63,0,0,0,25,44550,0,95525,8300,3700,1369,1912,486415,1319650,589519,234047,163252,632023,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,76,2,0,0,0,0,0,0,0,0,0,0,0,1154,2688,0,2575,0,0,1217,20,0,0
AL,01027,1888,77,0,4,1303,0,6,0,0,0,0,0,0,0,26,0,475,0,15,6,0,0,0,0,0,0,0,9222,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,725,0,0,0,0,0,0,0,65,0,0,0,0,4893,0,58250,2492,863,192,544,953339,448556,1483,18008,241287,218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,77,4,1778,0,0,501,15,0,0
AL,01029,877,156,0,0,3340,0,31,0,0,0,0,0,0,0,37,0,776,1,80,369,0,0,0,0,0,0,2,6938,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1092,0,0,0,0,0,0,0,2,0,0,0,0,4814,0,57661,8923,1811,419,231,825652,429901,6018,20862,244061,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,156,0,4116,0,0,813,80,0,0
AL,01031,34148,61506,0,429,21109,2,50487,0,1,0,0,0,0,0,6619,0,1830,188,2648,4337,0,0,0,0,0,0,0,84220,0,0,0,0,0,226,0,0,2,1,0,2,0,0,12,0,0,0,0,60,3158,0,160860,0,1,0,0,0,32,0,1113,0,0,0,12,14105,0,87808,18761,5606,1977,196,244005,550377,195510,211516,117521,72526,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,11,0,0,0,0,0,0,0,0,2,0,4433,0,112,15,2,0,0,0,0,0,0,0,0,0,34387,65939,431,23066,0,0,13097,2771,0,0
AL,01033,92125,11899,0,6,59196,17,8,0,0,0,0,0,0,0,2440,0,55754,2,0,11,0,0,0,0,0,0,0,29144,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,583,0,1172,0,0,0,0,0,0,0,1,0,0,0,166,86671,0,86898,40856,13730,4987,1969,712581,89273,32609,144100,298257,29193,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,92130,11901,6,114952,0,0,58199,0,0,0
AL,01035,8218,20012,0,3,11945,0,8836,0,0,0,0,0,0,0,842,0,2140,971,743,228,0,0,0,0,0,0,0,49442,0,0,0,91,0,9,0,25,2,2,0,0,0,0,0,2,0,0,0,0,119,0,17102,0,0,0,0,0,0,0,487,0,0,0,0,8017,0,66790,7790,1399,346,1441,537978,995265,129850,195584,286381,101290,762,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,268,1,0,0,0,0,0,0,0,0,0,0,218,0,5,0,0,0,0,0,0,0,0,0,0,0,8487,20230,3,14090,0,0,3468,749,0,0
AL,01037,560,184,0,0,1653,0,5,0,0,0,0,0,0,0,17,0,488,0,0,1,0,0,0,0,0,0,0,3130,0,0,0,0,0,31,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,111,0,8,0,0,0,0,0,13,0,0,0,0,43138,0,79220,3783,495,51,921,960066,593152,3693,42020,184033,878,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,184,0,2141,0,0,505,0,0,0
AL,01039,16879,58171,0,345,11124,0,37636,0,2,0,0,0,0,0,1973,0,1847,871,474,2473,0,0,0,0,0,0,0,95186,0,0,0,8,0,229,0,80,2,24,0,0,0,0,71,0,0,0,0,5,4219,0,123826,0,3,0,0,0,7,0,2130,0,0,0,0,32825,0,138169,21573,4594,1568,429,314467,1244769,234537,254003,298075,99701,896,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,391,0,346,15,0,0,0,0,0,0,0,0,0,0,16909,58562,345,13332,0,0,4226,820,0,0
AL,01041,14803,8578,0,159,5668,0,5172,0,2,0,0,0,0,0,326,0,426,284,102,860,0,0,0,0,0,0,0,69974,0,0,0,3,0,12,0,54,7,15,0,0,0,0,26,22,0,0,0,0,130,0,18242,0,1,0,0,0,0,0,504,0,0,0,0,8441,0,70268,7031,1091,230,292,557724,503498,63037,165096,166454,88946,252,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,136,0,4,1,0,0,0,0,0,0,0,0,0,0,14879,8714,159,6099,0,0,888,181,0,0
AL,01043,15993,1028,0,33,35980,11,8,0,11,6,0,0,0,0,297,0,3602,11,1,131,0,0,0,0,0,0,2,33460,0,0,0,203,76,68,0,2740,0,19,0,0,0,0,0,2,0,0,0,0,69,0,571,0,6,0,0,0,0,0,36,0,0,0,6,46332,0,112835,46311,13457,5055,3342,697116,142102,42567,94588,871747,2265,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16000,1028,55,39584,0,0,3926,1,0,0
AL,01045,13723,36831,0,187,1982,0,62875,0,0,0,0,0,0,0,4536,0,821,1012,1993,1144,0,0,0,0,0,0,0,54692,0,0,0,0,0,28,0,0,1,0,0,61,0,0,13,0,0,0,0,3,1248,0,122398,0,0,0,0,0,90,0,735,0,0,0,0,9748,0,77006,24750,9400,3935,114,347117,419204,68795,203457,73534,75814,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,57,0,0,0,0,0,0,0,0,14,0,1586,0,73,0,0,0,0,0,0,0,0,0,0,0,13849,38417,201,2876,0,0,7026,2123,0,0
AL,01047,24983,22728,0,41,47151,2,16339,0,0,0,0,0,0,0,8835,0,9089,163,814,61,0,0,0,0,0,0,0,161864,0,0,0,0,0,28,0,5,0,20,0,0,0,0,0,1,0,0,0,6,1035,0,7304,0,13,0,0,0,0,0,6784,0,0,0,36,69670,0,132895,22173,7999,2808,986,514594,595771,87658,229600,357934,513609,16439,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,1,0,163,4,167,0,0,0,0,0,0,0,0,0,0,0,24988,22895,42,56411,0,0,18093,981,0,0
AL,01049,70328,157,0,229,80639,0,2,0,18,0,0,0,0,0,694,0,10900,12,43,10,0,0,0,0,0,0,0,87447,0,0,0,0,256,22,0,0,29,298,0,0,0,0,0,0,0,0,0,0,165,0,722,0,0,0,0,0,0,0,0,0,0,0,0,5588,0,106771,38961,10889,3663,545,765617,104959,158830,46601,745258,1051,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,162,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70330,157,245,91540,0,0,11610,44,0,0
AL,01051,10884,46150,0,22,8296,0,3984,0,8,0,0,0,0,0,2834,0,2353,33,501,206,0,0,0,0,0,0,0,66928,0,0,0,0,0,50,0,40,3,48,0,0,0,0,5,3,0,0,0,1,2031,0,11240,0,9,0,0,0,13,0,642,0,0,0,1,107717,0,94703,22084,7036,1406,1469,598054,346303,64347,141463,259715,89992,496,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,10891,46164,22,10651,0,0,5204,503,0,0
AL,01053,29308,70311,0,9,30650,12,54065,0,0,0,0,0,0,0,1839,0,27945,184,912,811,0,0,0,0,0,0,0,43528,0,0,0,6,0,16,0,20,9,45,0,0,0,0,1,0,0,0,0,2,5033,0,43492,0,2,0,0,0,0,0,1407,0,0,0,0,17454,0,77082,23588,5572,1639,5057,79654,1217868,102776,321208,301780,272115,2673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4553,8,170,0,0,0,0,0,0,0,0,0,0,0,29315,74872,9,58773,0,0,34344,1082,0,0
AL,01055,16252,3140,0,26,40468,0,9,0,26,0,0,0,0,0,23,0,3692,2,2,1,0,0,0,0,0,0,0,28697,0,0,0,0,1,173,0,0,2,7,0,0,0,0,0,0,0,0,0,0,359,0,8018,0,8,0,0,0,0,0,1,0,0,0,0,38737,0,123927,70430,15612,8386,1135,614901,135373,49729,40223,373790,6099,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,16256,3140,27,44190,0,0,3716,28,0,0
AL,01057,8412,256,0,4,19783,0,26,0,0,0,0,0,0,0,93,0,521,0,43,0,0,0,0,0,0,0,0,25597,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,0,0,52,0,12542,0,0,0,0,0,0,0,1,0,0,0,22,4769,0,67417,5775,2029,740,1487,852974,313213,127528,194201,130778,42731,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8429,256,35,20320,0,0,646,43,0,0
AL,01059,14081,2010,0,61,24090,33,28,0,0,1,0,0,0,0,203,0,5234,0,1,59,0,0,0,0,0,0,0,18453,0,0,0,0,2,576,0,9,0,0,0,0,0,0,0,0,0,0,0,4,81,0,668,0,0,0,0,0,0,0,0,0,0,0,114,33958,0,68038,22621,6760,1511,2125,832861,176624,34884,224515,383591,6918,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14090,2010,61,29327,0,0,5443,1,0,0
AL,01061,29866,103053,0,1364,14649,17,121336,0,0,0,0,0,0,0,3457,0,2026,888,4830,1513,0,0,0,0,0,0,0,69422,0,0,0,0,0,14,0,0,1,76,0,2,0,0,161,0,0,0,0,2,4149,0,246078,0,0,0,0,0,567,0,672,0,0,0,0,16843,0,68704,8435,1767,583,101,44076,470657,32515,189900,106560,118658,1094,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,5,0,909,0,844,121,0,0,0,0,0,0,0,0,0,0,29995,103962,1369,17640,0,0,6404,5675,6,0
AL,01063,2548,836,0,0,8006,9,95,0,0,0,0,0,0,0,646,0,747,0,1,0,0,0,0,0,0,0,0,26912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,78,0,107309,0,0,0,0,0,0,0,42,0,0,0,5750,64886,0,71566,5999,901,285,503,388559,220961,125185,124008,229782,509621,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,883,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2635,836,883,8754,0,0,2362,1,0,0
AL,01065,8716,500,0,6,17454,3,2728,0,0,0,0,0,0,0,1011,0,2440,0,8,0,0,0,0,0,0,0,0,68686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,53,0,33746,0,0,0,0,0,0,0,38,0,0,0,21030,60041,0,62762,5911,974,259,917,444351,228248,144938,116290,343213,321866,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8819,501,129,19894,0,0,3678,8,0,0
AL,01067,21033,63621,0,1415,5555,0,124447,0,0,0,0,0,0,0,6641,0,1339,1738,1031,2506,0,0,0,0,0,0,0,63188,0,0,0,0,0,45,0,0,4,0,0,41,0,0,86,0,0,0,0,1,2948,0,125730,0,0,0,0,0,145,0,1066,0,0,0,0,22173,0,53338,12198,2345,547,178,325006,390166,72085,196393,89320,46245,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,10,0,0,0,0,0,0,0,0,79,0,1566,0,591,0,1,0,0,0,0,0,0,0,0,0,21255,65187,1494,7485,0,0,9837,1632,0,0
AL,01069,19206,77075,0,479,7047,0,242204,0,0,0,0,0,0,0,5935,0,4309,1427,1879,2966,0,0,0,0,0,0,0,100150,0,0,0,0,0,13,0,0,1,38,0,2883,0,0,39,0,0,0,0,6,2412,0,178783,0,0,0,0,0,916,0,616,0,0,0,0,8768,0,93760,43318,15599,7691,110,93270,345924,13042,163323,115506,122036,445,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,10,0,1260,0,670,17,3,0,0,0,0,0,0,0,0,0,19239,78335,489,12043,0,0,11525,2554,585,0
AL,01071,105102,3556,0,25,177670,0,14,0,14,0,0,0,0,0,766,0,17879,23,0,50,0,0,0,0,0,0,0,68277,0,0,0,0,276,153,0,0,7,116,0,0,0,0,0,0,0,0,0,0,20,0,1747,0,0,60,0,0,1,0,0,0,0,0,0,138195,0,85667,34334,9591,3435,334,1745112,84248,98376,85674,529978,50720,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,255,0,0,44,0,0,0,0,0,0,89,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,105359,3556,114,195551,0,0,18989,0,0,0
AL,01073,1577,200,0,1,4832,0,18,0,0,0,0,0,0,0,132,0,904,2,1,1,0,0,0,0,0,0,0,7274,0,0,0,294,13,17,0,145,0,12,0,0,0,0,0,0,0,0,0,0,19,0,610,0,7,0,0,0,0,0,18,0,0,0,15,38872,0,446727,306100,105650,44830,22775,1222670,523533,51295,78778,373656,3067,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1581,210,4,5737,0,0,1053,2,0,0
AL,01075,8914,2426,0,919,8339,24,3190,0,0,0,0,0,0,0,185,0,417,0,2,1,0,0,0,0,0,0,0,23462,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,0,9210,0,0,0,0,0,0,0,0,0,0,0,166,5129,0,69726,6093,1542,367,583,776408,192652,127229,227263,124887,152922,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8915,2426,921,8756,0,0,605,2,0,0
AL,01077,85944,48600,0,16,59523,30,5,0,0,0,0,0,0,0,537,0,54059,55,0,242,0,0,0,0,0,0,0,100737,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,4070,0,0,0,0,0,0,0,0,0,0,0,78,141207,0,127400,38705,10082,3358,180,668972,55981,19879,102416,521667,22704,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,85946,48600,16,113584,0,0,54598,2,0,0
AL,01079,172161,18894,0,11,65778,25,1,0,0,0,0,0,0,0,3288,0,58952,11,0,38,0,0,0,0,0,0,0,43574,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,5,342,0,128,0,0,0,0,0,0,0,1,0,0,0,0,72934,0,76134,16207,5489,1359,508,662303,141452,67515,63763,525409,70050,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,172168,18895,11,124732,0,0,62246,0,0,0
AL,01081,1864,2420,0,59,855,0,7988,0,0,0,0,0,0,0,384,0,181,74,45,368,0,0,0,0,0,0,0,19817,0,0,0,0,0,30,0,0,0,7,0,0,0,0,4,0,0,0,0,2,776,0,35498,0,3,0,0,0,1,0,237,0,0,0,0,29287,0,116095,66328,17281,6506,1237,624144,411048,20506,108039,295275,6100,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,1,0,48,0,7,1,5,0,0,0,0,0,0,0,0,0,1896,2468,60,1044,0,0,644,53,0,0
AL,01083,111292,40446,0,17,182071,1238,9,0,0,4,0,0,0,0,646,0,131467,134,0,78,0,0,0,0,0,0,21,78575,0,0,0,0,2,1103,0,35,0,0,0,0,0,0,0,0,0,0,0,109,560,0,307,0,2,0,0,0,0,0,4,0,0,0,0,112877,0,86303,32655,9857,2038,510,391112,32628,15614,30607,430026,54733,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,84,0,0,0,0,0,0,0,0,0,0,111376,40450,27,313622,0,0,132127,0,0,0
