term,model,vif
pland_crops,cp_twoways_var7crops,7.171381609217888
cropintensity,cp_twoways_var7crops,1.0198865650854474
msidi,cp_twoways_var7crops,1.6413159677299367
mna_crops,cp_twoways_var7crops,3.4140183311733527
largefarm_planted,cp_twoways_var7crops,3.343244222705779
natural_crops_ed,cp_twoways_var7crops,2.726647527765742
SDI,cp_twoways_var7crops,1.2486808256656925
soysmallgrain_planted,cp_twoways_var7crops,2.6182728432416087
corn_planted,cp_twoways_var7crops,2.2212273540012037
fruitveg_planted,cp_twoways_var7crops,1.1332803863120788
pland_crops,cp_individual_var7crops,7.171381609217888
cropintensity,cp_individual_var7crops,1.0198865650854474
msidi,cp_individual_var7crops,1.6413159677299367
mna_crops,cp_individual_var7crops,3.4140183311733527
largefarm_planted,cp_individual_var7crops,3.343244222705779
natural_crops_ed,cp_individual_var7crops,2.726647527765742
SDI,cp_individual_var7crops,1.2486808256656925
soysmallgrain_planted,cp_individual_var7crops,2.6182728432416087
corn_planted,cp_individual_var7crops,2.2212273540012037
fruitveg_planted,cp_individual_var7crops,1.1332803863120788
pland_crops,cp_time_var7crops,7.171381609217888
cropintensity,cp_time_var7crops,1.0198865650854474
msidi,cp_time_var7crops,1.6413159677299367
mna_crops,cp_time_var7crops,3.4140183311733527
largefarm_planted,cp_time_var7crops,3.343244222705779
natural_crops_ed,cp_time_var7crops,2.726647527765742
SDI,cp_time_var7crops,1.2486808256656925
soysmallgrain_planted,cp_time_var7crops,2.6182728432416087
corn_planted,cp_time_var7crops,2.2212273540012037
fruitveg_planted,cp_time_var7crops,1.1332803863120788
pland_crops,cp_twoways_var6crops,7.1292220856863064
cropintensity,cp_twoways_var6crops,1.0104733821196328
msidi,cp_twoways_var6crops,1.5741821766384494
mna_crops,cp_twoways_var6crops,3.4678635888562277
largefarm_planted,cp_twoways_var6crops,3.2204792218103395
natural_crops_ed,cp_twoways_var6crops,2.642668792381694
SDI,cp_twoways_var6crops,NA
soysmallgrain_planted,cp_twoways_var6crops,2.6204820727846996
corn_planted,cp_twoways_var6crops,2.14615657041895
fruitveg_planted,cp_twoways_var6crops,1.1244889171319983
pland_crops,cp_individual_var6crops,7.1292220856863064
cropintensity,cp_individual_var6crops,1.0104733821196328
msidi,cp_individual_var6crops,1.5741821766384494
mna_crops,cp_individual_var6crops,3.4678635888562277
largefarm_planted,cp_individual_var6crops,3.2204792218103395
natural_crops_ed,cp_individual_var6crops,2.642668792381694
SDI,cp_individual_var6crops,NA
soysmallgrain_planted,cp_individual_var6crops,2.6204820727846996
corn_planted,cp_individual_var6crops,2.14615657041895
fruitveg_planted,cp_individual_var6crops,1.1244889171319983
pland_crops,cp_time_var6crops,7.1292220856863064
cropintensity,cp_time_var6crops,1.0104733821196328
msidi,cp_time_var6crops,1.5741821766384494
mna_crops,cp_time_var6crops,3.4678635888562277
largefarm_planted,cp_time_var6crops,3.2204792218103395
natural_crops_ed,cp_time_var6crops,2.642668792381694
SDI,cp_time_var6crops,NA
soysmallgrain_planted,cp_time_var6crops,2.6204820727846996
corn_planted,cp_time_var6crops,2.14615657041895
fruitveg_planted,cp_time_var6crops,1.1244889171319983
pland_crops,cp_twoways_var6crops_3yrs,6.994140731422076
cropintensity,cp_twoways_var6crops_3yrs,1.0105401510985814
msidi,cp_twoways_var6crops_3yrs,1.5992707993625586
mna_crops,cp_twoways_var6crops_3yrs,3.3620844978366846
largefarm_planted,cp_twoways_var6crops_3yrs,3.2591627699133245
natural_crops_ed,cp_twoways_var6crops_3yrs,2.6593399547061445
SDI,cp_twoways_var6crops_3yrs,NA
soysmallgrain_planted,cp_twoways_var6crops_3yrs,2.599924954924929
corn_planted,cp_twoways_var6crops_3yrs,2.220874121700827
fruitveg_planted,cp_twoways_var6crops_3yrs,1.1297132215401915
pland_crops,cp_individual_var6crops_3yrs,6.994140731422076
cropintensity,cp_individual_var6crops_3yrs,1.0105401510985814
msidi,cp_individual_var6crops_3yrs,1.5992707993625586
mna_crops,cp_individual_var6crops_3yrs,3.3620844978366846
largefarm_planted,cp_individual_var6crops_3yrs,3.2591627699133245
natural_crops_ed,cp_individual_var6crops_3yrs,2.6593399547061445
SDI,cp_individual_var6crops_3yrs,NA
soysmallgrain_planted,cp_individual_var6crops_3yrs,2.599924954924929
corn_planted,cp_individual_var6crops_3yrs,2.220874121700827
fruitveg_planted,cp_individual_var6crops_3yrs,1.1297132215401915
pland_crops,cp_time_var6crops_3yrs,6.994140731422076
cropintensity,cp_time_var6crops_3yrs,1.0105401510985814
msidi,cp_time_var6crops_3yrs,1.5992707993625586
mna_crops,cp_time_var6crops_3yrs,3.3620844978366846
largefarm_planted,cp_time_var6crops_3yrs,3.2591627699133245
natural_crops_ed,cp_time_var6crops_3yrs,2.6593399547061445
SDI,cp_time_var6crops_3yrs,NA
soysmallgrain_planted,cp_time_var6crops_3yrs,2.599924954924929
corn_planted,cp_time_var6crops_3yrs,2.220874121700827
fruitveg_planted,cp_time_var6crops_3yrs,1.1297132215401915
pland_crops,cp_twoways_var4crops,3.210309096019109
cropintensity,cp_twoways_var4crops,1.0194603871940557
msidi,cp_twoways_var4crops,NA
mna_crops,cp_twoways_var4crops,NA
largefarm_planted,cp_twoways_var4crops,3.0261237706115818
natural_crops_ed,cp_twoways_var4crops,NA
SDI,cp_twoways_var4crops,1.172599670125082
soysmallgrain_planted,cp_twoways_var4crops,2.4758019932832123
corn_planted,cp_twoways_var4crops,2.0073158581302573
fruitveg_planted,cp_twoways_var4crops,1.113640861150311
pland_crops,cp_individual_var4crops,3.210309096019109
cropintensity,cp_individual_var4crops,1.0194603871940557
msidi,cp_individual_var4crops,NA
mna_crops,cp_individual_var4crops,NA
largefarm_planted,cp_individual_var4crops,3.0261237706115818
natural_crops_ed,cp_individual_var4crops,NA
SDI,cp_individual_var4crops,1.172599670125082
soysmallgrain_planted,cp_individual_var4crops,2.4758019932832123
corn_planted,cp_individual_var4crops,2.0073158581302573
fruitveg_planted,cp_individual_var4crops,1.113640861150311
pland_crops,cp_time_var4crops,3.210309096019109
cropintensity,cp_time_var4crops,1.0194603871940557
msidi,cp_time_var4crops,NA
mna_crops,cp_time_var4crops,NA
largefarm_planted,cp_time_var4crops,3.0261237706115818
natural_crops_ed,cp_time_var4crops,NA
SDI,cp_time_var4crops,1.172599670125082
soysmallgrain_planted,cp_time_var4crops,2.4758019932832123
corn_planted,cp_time_var4crops,2.0073158581302573
fruitveg_planted,cp_time_var4crops,1.113640861150311
pland_crops,cp_twoways_var3crops,3.1282298202037175
cropintensity,cp_twoways_var3crops,1.009340124607815
msidi,cp_twoways_var3crops,NA
mna_crops,cp_twoways_var3crops,NA
largefarm_planted,cp_twoways_var3crops,2.8416247046223626
natural_crops_ed,cp_twoways_var3crops,NA
SDI,cp_twoways_var3crops,NA
soysmallgrain_planted,cp_twoways_var3crops,2.463797942672269
corn_planted,cp_twoways_var3crops,1.9440381536362359
fruitveg_planted,cp_twoways_var3crops,1.1034444906539873
pland_crops,cp_individual_var3crops,3.1282298202037175
cropintensity,cp_individual_var3crops,1.009340124607815
msidi,cp_individual_var3crops,NA
mna_crops,cp_individual_var3crops,NA
largefarm_planted,cp_individual_var3crops,2.8416247046223626
natural_crops_ed,cp_individual_var3crops,NA
SDI,cp_individual_var3crops,NA
soysmallgrain_planted,cp_individual_var3crops,2.463797942672269
corn_planted,cp_individual_var3crops,1.9440381536362359
fruitveg_planted,cp_individual_var3crops,1.1034444906539873
pland_crops,cp_time_var3crops,3.1282298202037175
cropintensity,cp_time_var3crops,1.009340124607815
msidi,cp_time_var3crops,NA
mna_crops,cp_time_var3crops,NA
largefarm_planted,cp_time_var3crops,2.8416247046223626
natural_crops_ed,cp_time_var3crops,NA
SDI,cp_time_var3crops,NA
soysmallgrain_planted,cp_time_var3crops,2.463797942672269
corn_planted,cp_time_var3crops,1.9440381536362359
fruitveg_planted,cp_time_var3crops,1.1034444906539873
pland_crops,cp_twoways_var3crops_3yrs,3.1165692888994214
cropintensity,cp_twoways_var3crops_3yrs,1.0095129162332808
msidi,cp_twoways_var3crops_3yrs,NA
mna_crops,cp_twoways_var3crops_3yrs,NA
largefarm_planted,cp_twoways_var3crops_3yrs,2.870847522555062
natural_crops_ed,cp_twoways_var3crops_3yrs,NA
SDI,cp_twoways_var3crops_3yrs,NA
soysmallgrain_planted,cp_twoways_var3crops_3yrs,2.4309351392569996
corn_planted,cp_twoways_var3crops_3yrs,2.0072319430363468
fruitveg_planted,cp_twoways_var3crops_3yrs,1.107906239689674
pland_crops,cp_individual_var3crops_3yrs,3.1165692888994214
cropintensity,cp_individual_var3crops_3yrs,1.0095129162332808
msidi,cp_individual_var3crops_3yrs,NA
mna_crops,cp_individual_var3crops_3yrs,NA
largefarm_planted,cp_individual_var3crops_3yrs,2.870847522555062
natural_crops_ed,cp_individual_var3crops_3yrs,NA
SDI,cp_individual_var3crops_3yrs,NA
soysmallgrain_planted,cp_individual_var3crops_3yrs,2.4309351392569996
corn_planted,cp_individual_var3crops_3yrs,2.0072319430363468
fruitveg_planted,cp_individual_var3crops_3yrs,1.107906239689674
pland_crops,cp_time_var3crops_3yrs,3.1165692888994214
cropintensity,cp_time_var3crops_3yrs,1.0095129162332808
msidi,cp_time_var3crops_3yrs,NA
mna_crops,cp_time_var3crops_3yrs,NA
largefarm_planted,cp_time_var3crops_3yrs,2.870847522555062
natural_crops_ed,cp_time_var3crops_3yrs,NA
SDI,cp_time_var3crops_3yrs,NA
soysmallgrain_planted,cp_time_var3crops_3yrs,2.4309351392569996
corn_planted,cp_time_var3crops_3yrs,2.0072319430363468
fruitveg_planted,cp_time_var3crops_3yrs,1.107906239689674
