StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_232,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01033,105573,20593,0,83,40242,0,54,0,0,0,0,0,0,0,60,0,68358,0,1,2182,0,0,0,0,0,0,0,9158,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,182,0,719,0,0,3,0,0,0,0,3,0,0,0,0,86776,0,88737,41110,14570,5539,4639,712603,112561,30186,213737,210632,25842,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105576,20593,83,108600,0,0,68418,4,0,0
AL,01035,6303,37828,0,22,2469,0,3272,0,0,0,0,0,0,0,510,0,91,599,98,671,0,0,0,0,0,0,0,60131,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,578,458,0,3485,0,0,0,0,0,0,0,1106,0,0,0,0,8493,0,67814,7139,1628,493,1878,397808,1102790,174263,339270,150827,84108,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6304,37828,22,2560,0,0,602,98,0,0
AL,01037,277,1040,0,5,352,0,9,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,6139,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,799,0,1,0,0,0,0,0,11,0,0,0,0,44518,0,78901,3771,728,98,1564,876148,660270,3694,154018,84484,783,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277,1040,5,376,0,0,24,1,0,0
AL,01039,28282,99875,0,411,4253,0,23176,0,1,0,0,0,0,0,162,0,99,114,61,3266,0,0,0,0,0,0,0,115520,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,14,4278,0,18387,0,0,0,0,0,0,0,12996,0,0,0,0,35687,0,142512,20319,5389,1953,644,295412,1302578,246313,346697,207067,87885,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28282,99875,411,4353,0,0,261,62,0,0
AL,01041,11153,7163,0,161,1547,0,5758,0,0,0,0,0,0,0,309,0,1235,658,894,560,0,0,0,0,0,0,0,86484,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,310,0,7659,0,0,0,0,0,0,0,354,0,0,0,0,9687,0,70529,6483,1312,308,371,540429,534836,37557,229029,98930,103846,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11154,7163,161,2782,0,0,1545,894,0,0
AL,01043,17222,3457,0,57,52577,0,302,0,0,0,0,0,0,0,59,0,3545,18,3,163,0,0,0,0,0,0,1,39262,0,0,0,0,100,69,0,1267,0,2,0,0,0,0,0,0,0,0,0,11,70,0,1381,0,16,0,0,0,0,0,77,0,0,0,0,48990,0,120637,48595,17132,5612,6129,742008,196847,51922,178135,630486,5804,110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,73,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17295,3457,57,56127,0,0,3677,8,0,0
AL,01045,11265,43754,0,685,991,43,49317,0,14,0,0,0,0,0,733,0,20,3160,2046,1165,0,0,0,0,0,0,0,72246,0,0,0,0,0,1,0,0,0,335,0,1,0,0,10,0,0,0,0,15,677,0,93995,0,0,0,0,0,0,0,928,0,0,0,0,12129,0,81522,25081,10215,4110,103,299003,483284,55465,261366,23914,78066,1454,0,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,13,0,0,0,0,0,1,0,0,179,0,0,0,0,0,0,0,0,0,11282,43755,685,1011,0,0,758,2059,0,0
AL,01047,25869,65435,0,396,49470,0,1100,0,0,0,0,0,0,0,1589,0,1774,0,90,7,0,0,0,0,0,0,5,130652,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,723,3119,0,13648,0,0,0,0,0,0,0,1245,0,0,0,16,75131,0,131075,21595,9331,3657,2102,505030,628712,83736,328310,269902,486426,19193,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,273,0,0,1,0,169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26142,65435,565,51245,0,0,3805,91,4,0
AL,01049,52304,912,0,29,84044,0,0,0,2,0,0,200,0,0,285,0,9301,0,13,229,0,0,0,0,0,0,0,80600,0,0,0,0,193,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,84,0,3057,0,0,12,0,207,0,0,1,0,0,0,0,8367,0,114682,39614,12572,4362,2312,799208,122037,170088,146553,582606,3121,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,105,0,1025,0,21,0,0,1858,0,0,0,0,0,0,0,0,0,0,100,52409,912,50,95303,300,0,9607,1976,0,0
AL,01051,14481,48476,0,5594,4962,0,110,0,0,0,0,0,0,0,274,0,174,2,105,7,0,0,0,0,0,0,1,50362,0,0,0,0,0,11,0,2,3,19,0,0,0,0,0,0,0,0,14,0,162,0,99466,0,0,4,0,0,0,0,150,0,0,0,3,111510,0,101351,26958,9196,2342,5796,632378,322999,82490,185777,128942,55847,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,14593,48478,5594,5140,0,0,562,109,0,0
AL,01053,23501,124328,0,524,10281,0,75961,0,15,0,0,0,0,0,284,0,114,0,188,12436,0,0,0,0,0,0,0,39744,0,0,0,0,1,0,0,51,0,1,0,0,0,0,0,0,0,0,0,7,5540,0,10368,0,0,0,0,0,0,0,577,0,0,0,0,20662,0,78484,23899,6595,2085,9411,58316,1277041,96627,404431,173424,284039,3868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,23503,124329,524,10397,0,0,399,192,0,0
AL,01055,8272,16637,0,30,29934,0,0,0,0,0,0,0,0,0,12,0,187,0,1,105,0,0,0,0,0,0,0,21719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,39350,0,0,0,0,0,0,0,1,0,0,0,0,42928,0,140804,72629,20790,9271,2102,616679,150146,88376,91996,219262,7919,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,8272,16637,30,30126,1,0,199,5,0,0
AL,01057,6006,9961,0,2,13723,0,97,0,0,0,0,0,0,0,3,0,60,0,1,12,0,0,0,0,0,0,0,34664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,10068,0,0,0,0,0,0,0,2,0,0,0,3,5692,0,67562,6324,2011,780,1932,776928,353167,108240,325022,45381,43352,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6006,9961,2,13783,0,0,63,1,0,0
AL,01059,13279,6158,0,0,24256,0,1045,0,0,0,0,0,0,0,10,0,4939,0,3,202,0,0,0,0,0,0,0,20790,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,100,48,0,332,0,0,0,0,0,0,0,0,0,0,0,0,35777,0,71235,22285,8064,2036,3855,816796,204335,36229,312294,270980,5332,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13280,6158,0,29200,0,0,4949,9,0,0
AL,01061,69569,107954,0,175,13468,145,110486,0,40,0,0,0,0,0,146,0,16,1315,2110,3991,0,0,0,0,0,0,0,118816,0,0,0,0,0,0,0,0,0,503,0,20,0,0,1,0,0,0,0,20,2035,0,79612,0,0,0,0,0,0,0,276,0,0,0,15,20505,0,78567,10250,1992,579,159,52280,535388,38872,219500,76186,118687,1694,0,340,0,0,0,0,0,0,0,0,3,0,0,0,0,0,36,0,0,2,20,0,0,0,0,0,2,10,0,145,0,0,0,0,0,0,0,0,0,69591,107956,175,13494,0,0,166,2140,0,0
AL,01063,8152,440,0,0,7108,0,12,0,0,0,0,0,0,0,1721,0,0,0,1,0,0,0,0,0,0,0,1,8579,0,0,0,0,0,0,0,8,0,52,0,0,0,0,0,0,0,0,0,0,8,0,181827,0,0,0,0,0,0,0,22,0,0,0,184,57566,0,70749,5668,1092,364,320,338536,297542,105459,191769,154815,466055,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8152,440,0,7108,0,0,1721,1,0,0
AL,01065,17213,545,0,5,20336,0,17,0,0,0,0,0,0,0,47,0,21,0,0,0,0,0,0,0,0,0,18,44191,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10381,0,0,0,0,0,0,0,9,0,0,0,1148,82678,0,65155,4873,1210,223,538,416001,252590,103686,193665,340269,333344,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17214,545,5,20357,0,0,68,1,0,0
AL,01067,20450,85324,0,467,2695,30,76184,0,16,0,0,0,0,0,3195,0,998,15053,5859,8317,0,0,0,0,0,0,0,128200,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,6,4222,0,47228,0,0,0,0,0,0,0,529,0,0,0,0,25171,0,59314,13391,2637,592,184,274186,445907,70030,278422,21006,42777,643,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1648,1,0,0,0,0,0,616,51,0,174,0,0,0,0,0,0,0,0,0,22099,85940,467,3744,0,0,6457,5911,0,0
AL,01069,12527,106530,0,2684,5360,1408,159634,0,11,0,0,0,0,0,190,0,26,4866,2450,5296,0,0,0,0,0,0,0,158754,0,0,0,0,0,0,0,0,0,1527,0,8903,0,0,44,0,0,0,0,0,369,0,148911,0,0,0,0,0,0,0,919,0,0,0,0,10981,0,103860,46545,17391,8517,228,86707,410926,7975,204020,43017,107256,1111,0,1422,424,0,0,0,0,0,0,0,1376,0,0,0,0,0,748,0,0,212,3,0,0,0,0,0,11,37,0,561,0,0,0,0,0,0,0,0,0,12742,106541,2684,5423,0,0,439,2490,0,0
AL,01071,120724,9229,0,237,138361,0,0,0,123,0,0,13,0,0,557,0,16315,0,0,6,0,32,0,0,0,0,3,66909,0,0,0,0,280,4,0,0,0,59,0,0,0,0,0,0,0,0,0,0,2,0,2331,0,0,189,0,150,0,0,0,0,0,0,0,141987,0,91481,34335,11115,4429,2021,1803762,113509,122320,159640,362477,37780,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,1230,24,0,23,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1,121978,9229,237,154829,14,0,18102,176,0,0
AL,01073,1109,380,0,16,1987,0,64,0,7,0,0,0,0,0,7,0,160,0,0,27,0,0,0,0,0,0,0,9365,0,0,0,0,0,14,0,21,0,5,0,0,0,0,3,0,0,0,0,1,108,0,617,0,1,0,0,0,0,0,30,0,0,0,0,40933,0,445439,304077,129390,51814,34396,1203424,606195,55136,193807,151731,3747,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1179,380,16,2149,0,0,236,3,0,0
AL,01075,7087,3772,0,250,7361,0,1687,0,0,0,0,0,0,0,0,0,217,0,2,48,0,0,0,0,0,0,0,27006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10108,0,0,0,0,0,0,0,0,0,0,0,1,5255,0,69126,7532,1780,549,205,685065,228699,107325,354054,69325,155605,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7087,3772,250,7578,0,0,217,2,0,0
AL,01077,108774,53336,0,310,76547,0,15,0,0,0,0,0,0,0,194,0,47179,252,1,27,0,0,0,0,0,0,1,39377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1403,0,927,0,0,15,0,0,0,0,13,0,0,0,0,140445,0,132847,40168,12503,3977,420,712565,66639,18600,180303,410996,18626,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,109390,53336,310,124224,0,0,47373,1115,0,0
AL,01079,125976,31954,0,4,103996,0,5079,0,0,0,0,0,0,0,978,0,91912,0,0,383,0,0,0,0,0,0,1,17192,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,27,404,0,300,0,0,0,0,0,0,0,0,0,0,0,0,74572,0,78347,17234,6526,1740,1632,674806,159856,77270,137836,389374,69054,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125976,31954,4,195908,0,0,92890,0,0,0
AL,01081,3747,11379,0,51,1666,0,261,0,1,0,0,0,0,0,135,0,58,30,18,1,0,0,0,0,0,0,0,29891,0,0,0,0,0,18,0,0,0,174,0,0,0,0,0,0,0,0,2,0,1905,0,2736,0,0,8,0,0,0,0,18,0,0,0,0,34378,0,121663,72223,23391,8405,2802,619954,431864,14874,218649,163942,8147,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,3747,11394,51,1724,0,0,208,18,0,0
AL,01083,129784,41496,0,149,200440,0,16,0,0,0,0,0,0,0,331,0,144687,1765,0,71,0,18,0,0,0,0,29,19226,0,0,0,0,1,22,0,21,0,0,0,0,0,0,0,0,0,0,0,3,92,0,1268,0,0,0,0,0,0,0,2,0,0,0,0,117041,0,94376,37367,12752,2998,1414,422140,37516,23816,86516,320227,51700,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,43,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,129827,41496,149,345131,0,0,145061,4,0,0
AL,01085,13640,16582,0,5935,7166,0,388,0,0,0,0,0,0,0,379,0,492,2,297,93,0,0,0,0,0,0,0,135134,0,0,0,0,0,0,0,0,2,264,0,0,0,0,37,0,0,0,0,0,5487,0,30257,0,0,0,0,0,0,0,4686,0,0,0,0,32805,0,81512,8256,1629,451,734,493833,391366,15974,307679,251609,271193,8516,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13651,16582,5935,7658,0,0,882,297,0,0
AL,01087,9987,22949,0,520,4454,0,1526,0,1,0,0,0,0,0,124,0,39,55,104,6,0,0,0,0,0,0,0,29587,0,0,0,0,0,1324,0,0,0,3,0,0,0,0,0,0,0,0,1088,0,7396,0,64961,0,0,85,0,0,0,0,281,0,0,0,15,19818,0,77728,14006,2954,688,3737,329642,392440,211615,267154,100366,195610,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,2098,0,0,19,0,0,0,0,0,0,0,0,0,9999,25047,520,4493,0,0,2272,105,0,0
AL,01089,161445,85672,0,47,134106,0,4,0,0,0,0,0,0,0,521,0,88293,8,0,15,0,0,0,0,0,0,13,19458,0,0,0,0,1,294,0,82,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2051,0,0,5,0,1,0,0,0,0,0,0,0,30782,0,251476,191567,59695,21050,3160,687069,64534,26686,84897,364406,61029,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,161448,85672,47,222429,0,0,88817,30,0,0
