StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_036,Category_037,Category_038,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_052,Category_053,Category_054,Category_056,Category_057,Category_058,Category_059,Category_061,Category_063,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_075,Category_076,Category_082,Category_087,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Barley_all,Canteloupe_all,Corn_all,Cotton_all,Lettuce_all,Oats_all,Sorghum_all,Soybeans_all,Wheat_Durum_all,Wheat_Winter_all
AR,05021,40321,34326,67850,1200,96278,2,0,0,0,0,0,0,0,105,0,6966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,26,7,0,0,2,0,0,0,0,0,374,22,0,0,0,0,0,0,0,0,0,0,153,5,3272,0,24741,1577,427,85,26,45905,607,371,1484,36086,48196,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40321,34326,0,0,1200,103244,0,7071
AR,05023,8,0,2,4,58,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,0,0,0,0,0,0,0,7,0,24328,0,15908,3742,398,219,102,173838,57563,21203,1760,78734,876,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,99,0,41
AR,05025,24,1,10,2,113,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,0,0,0,0,0,0,0,0,0,0,9,0,1306,0,5722,10087,184,29,3,6797,197866,1491,45861,15801,97755,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,2,130,0,29
AR,05027,43,2,6,0,175,0,0,0,0,0,0,0,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,4,0,3966,0,12616,10522,1265,390,7,29937,308008,7790,54434,23854,37825,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,0,0,207,0,37
AR,05029,3023,25,663,494,11515,0,0,0,0,0,0,0,0,392,0,4344,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,347,14,0,0,0,0,0,43,0,0,0,0,16,1,8723,0,17664,3825,387,112,110,106428,69023,8816,3029,109309,14279,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,25,0,1,494,15859,0,4736
AR,05031,18067,87780,73698,2071,101731,4,0,0,0,0,0,0,0,698,0,10592,0,2,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,9,5,0,0,22,0,0,0,2,0,1973,456,0,0,0,0,0,0,0,0,0,0,166,17,4354,0,35418,7046,2673,764,338,32391,1481,1072,265,37334,35650,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18067,87780,0,2,2071,112323,0,11290
AR,05033,2912,0,0,255,4935,0,0,0,0,0,0,0,0,238,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,8390,0,16841,7398,1444,363,335,203739,22630,4095,379,110122,1616,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2912,0,0,0,255,5541,0,844
AR,05035,11173,37405,31270,7916,133264,5,0,0,0,0,0,0,0,6770,0,48586,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,0,0,2,0,0,0,0,0,2246,1534,0,0,0,0,0,5,0,0,0,0,502,2,20562,0,27537,6248,2150,649,647,1041,961,240,1295,13320,52426,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11173,37405,0,5,7916,181850,0,55356
AR,05037,8484,5734,77385,8072,127219,2,0,0,0,0,0,0,0,2443,0,37751,0,6,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,1506,960,0,0,0,0,0,2,0,0,0,0,306,2,6326,0,21521,2351,405,95,94,36012,961,1043,1732,22551,35303,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8484,5734,0,6,8072,164970,0,40194
AR,05039,15,0,12,0,100,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,119,0,0,0,0,0,0,0,0,0,0,5,0,873,0,9277,13176,468,81,6,11945,270562,1881,55087,11594,52343,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,115,0,21
AR,05041,34578,63846,28352,9155,88254,4,0,0,0,0,0,0,0,9628,0,18870,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,16,0,0,0,1,0,0,0,0,0,5675,5280,0,0,0,0,0,64,0,0,0,0,580,234,43765,0,21785,2140,528,160,2237,240,944,513,3502,13214,170798,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34578,63846,0,2,9155,107124,0,28498
AR,05043,10182,17409,8315,1732,19953,2,0,0,0,0,0,0,0,1311,0,4152,0,117,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4333,2072,0,0,0,0,0,4,0,0,0,0,181,26,5109,0,13437,14238,719,229,27,7663,189384,4431,81297,30043,118159,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10182,17409,0,117,1732,24105,0,5463
AR,05045,1334,15,1438,24,5183,0,0,0,0,0,0,0,0,43,0,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,216,270,0,0,0,0,0,2,0,0,0,0,26,1,10919,0,23303,10364,2114,1083,137,141859,26810,7322,1919,176624,11393,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,15,0,0,24,7732,0,2592
AR,05047,494,0,3,0,712,0,0,0,0,0,0,0,0,1,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,1,0,7232,0,16672,5005,344,56,124,148224,57915,8662,3241,146730,815,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,0,852,0,141
AR,05049,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,0,18049,1706,93,19,62,237401,5465,6073,14,126179,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
AR,05051,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,36573,0,31023,10178,2769,1054,102,186993,132052,25657,1149,41925,625,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1
AR,05053,26,1,13,8,248,0,0,0,0,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,36,49,0,0,0,0,0,1,0,0,0,0,8,0,1227,0,12096,12091,573,203,6,14055,214537,1113,46702,22782,79278,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,8,302,0,58
AR,05055,20759,20276,68582,1255,73262,2,0,0,0,0,0,0,0,297,0,5892,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,7,11,0,0,7,0,0,0,0,0,717,67,0,0,0,0,0,0,0,0,0,0,73,573,7111,0,21572,2957,895,295,205,71336,4751,2644,514,44501,22345,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20759,20276,0,0,1255,79154,0,6189
AR,05057,88,20,12,2,554,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,301,0,0,0,0,0,2,0,0,0,0,201,1,8709,0,19983,6597,793,261,133,106662,134903,11928,25091,129252,28663,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,20,0,0,2,560,0,18
AR,05059,72,1,99,5,2291,0,0,0,0,0,0,0,0,26,0,109,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,211,153,0,0,0,0,0,1,0,0,0,0,15,0,5323,0,18889,7741,1209,425,176,98476,164839,12533,21018,54652,9943,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,5,2400,0,135
AR,05061,1,0,2,0,13,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,5217,0,18354,3134,443,132,154,113004,114411,21770,1871,94165,8144,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,12
AR,05063,8926,129,10178,1406,27722,12,0,0,0,0,0,0,0,813,0,5413,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1270,763,0,1,0,0,0,2,0,0,0,0,815,8,7650,0,24509,5709,963,438,219,204652,22192,20948,1107,132967,14949,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8926,129,0,4,1406,33135,0,6226
AR,05065,12,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2133,0,17593,2403,263,57,126,218628,18707,22052,146,91504,129,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,2
AR,05067,16851,1405,86683,6964,119827,15,0,0,0,0,0,0,0,1693,0,26365,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,0,370,0,0,0,0,0,4192,691,0,0,0,0,0,6,0,0,0,0,916,76,7459,0,26033,2333,666,170,58,27038,1020,1906,294,25403,52005,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16851,1405,0,1,6964,146192,0,28058
AR,05069,24571,19264,51495,4004,90359,12,0,0,0,0,0,0,0,8166,0,36649,0,4,2,0,0,0,0,0,14,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,7414,1924,0,0,0,0,0,9,0,0,0,0,908,44,24846,0,22946,21220,5089,1828,164,29340,86050,1955,21867,30151,94298,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24571,19264,0,4,4004,127008,0,44815
AR,05071,899,0,0,0,1086,0,0,0,0,0,0,0,0,9,0,533,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,12205,0,20381,4237,597,137,98,227182,67505,8153,782,89998,2801,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,0,0,0,1619,0,542
AR,05073,9957,2696,1166,609,4128,1,0,0,0,0,0,0,0,8368,0,1441,0,3,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,47,0,0,0,0,0,1,0,0,0,0,129,5,17044,0,13419,5464,401,62,405,35057,134795,8039,33863,53346,17462,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9957,2696,0,3,609,5569,0,9809
AR,05075,5059,489,77170,1656,84406,3,0,0,0,0,0,0,0,391,0,8304,0,35,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,0,0,0,15,0,0,0,0,0,1756,56,0,0,0,0,0,1,0,0,0,0,81,5,4085,0,21715,3361,777,133,167,78898,2931,8467,261,52311,26520,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5059,489,0,35,1656,92710,0,8695
AR,05077,30760,57081,21838,16075,87770,1,0,0,0,0,0,0,0,3575,0,27053,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,3004,2584,0,0,0,0,0,3,0,0,0,0,670,11,14200,0,20361,789,147,24,463,16385,917,624,1774,16403,73865,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30760,57081,0,5,16075,114823,0,30628
AR,05079,8241,35050,22577,2677,56347,1,0,0,0,0,0,0,0,1921,0,7491,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,5546,2096,0,0,0,0,0,2,0,0,0,0,381,17,9050,0,15525,4449,270,67,50,14414,67416,3049,18812,23259,67447,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8241,35050,0,2,2677,63838,0,9412
AR,05081,604,2,89,22,524,0,0,0,0,0,0,0,0,207,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,2,0,0,0,0,47,2,19040,0,12076,2328,426,114,1206,86858,97004,5353,7376,106390,21438,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,2,0,0,22,670,0,353
AR,05083,2307,4,2,0,1466,0,0,0,0,0,0,0,0,1,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,12995,0,17606,5656,511,107,287,131859,121935,22311,3014,143434,3564,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,4,0,0,0,2331,0,866
AR,05085,13761,18008,59944,5563,103767,71,0,0,0,0,0,0,0,4082,0,24337,0,3,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,8433,3352,0,0,0,0,0,114,0,0,0,0,1254,1128,25307,0,28866,4778,772,278,151,41027,8965,1913,1818,81671,74198,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13761,18008,0,3,5563,128104,0,28419
AR,05087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,21580,2160,182,36,11,357535,5099,235,25,148530,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AR,05089,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27571,0,17155,2033,227,44,276,248910,27424,4826,96,81204,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
AR,05091,17544,511,393,1041,7328,0,0,0,0,0,0,0,0,14634,0,2653,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,545,0,0,0,0,0,0,0,0,0,0,5259,1,15320,0,16805,12858,2236,597,508,53516,60613,17522,26297,111052,39430,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17544,511,0,10,1041,9981,0,17287
AR,05093,25882,205286,35160,3099,154532,6,0,0,0,0,0,0,0,2394,0,30006,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,64,111,0,0,0,0,0,0,0,0,660,442,0,0,0,0,0,1,0,0,0,0,270,26,19293,0,43729,5345,1697,484,277,1323,851,46,1051,8365,47851,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25882,205286,0,3,3099,184538,0,32400
AR,05095,29917,12532,36054,3171,64996,5,0,0,0,0,0,0,0,1503,0,25437,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8282,1651,0,0,0,0,0,2,0,0,0,0,3470,136,11549,0,20240,1692,260,53,46,3077,1180,1938,1534,10971,157933,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29917,12532,0,2,3171,90433,0,26940
AR,05097,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12271,0,19200,2144,131,20,37,275013,114631,29539,341,58507,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
AR,05099,29,1,2,0,144,0,0,0,0,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,0,0,0,0,0,0,0,0,0,0,12,1,1677,0,12725,7796,305,64,23,41075,199105,7480,43131,50794,32802,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,171,0,32
AR,05101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,17418,741,61,9,3,440046,15092,973,22,52306,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,05103,40,1,37,2,503,0,0,0,0,0,0,0,0,15,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,230,77,0,0,0,0,0,0,0,0,0,0,29,4,6292,0,13467,18620,1303,264,372,9893,249815,5837,42319,14461,109525,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,2,535,0,47
AR,05105,446,6,1178,9,3606,0,0,0,0,0,0,0,0,18,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,104,108,0,0,0,0,0,1,0,0,0,0,8,0,7347,0,16802,1721,118,5,37,99989,151893,16118,5224,46829,6817,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,6,0,0,9,3891,0,303
AR,05107,54737,49270,17107,16273,121366,2,0,0,0,0,0,0,0,6241,0,25791,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,6,0,0,0,0,0,0,0,0,0,1537,2846,0,0,0,0,0,20,0,0,0,0,334,1,24175,0,26253,2106,461,120,798,14163,1562,618,1795,16910,80939,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54737,49270,0,5,16273,147157,0,32032
AR,05109,21,0,2,0,47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,137,0,0,0,0,0,0,0,0,0,0,5,0,7530,0,18993,2842,259,46,71,122671,147593,24473,6708,56732,4622,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,49,0,2
AR,05111,10372,53120,113626,2770,137317,1,0,0,0,0,0,0,0,1764,0,24136,0,4,0,0,1,0,0,0,1,0,0,0,0,0,34,0,0,2,1,0,0,5,0,0,0,0,0,1070,2715,0,0,0,0,0,2,0,0,0,0,1999,60,10251,0,33239,2870,564,118,188,19197,1059,617,440,16319,54677,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10372,53120,0,4,2770,161453,0,25900
AR,05113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,24709,3658,518,151,201,275588,129642,16913,615,98388,184,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,10
