StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_036,Category_037,Category_038,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_052,Category_053,Category_056,Category_057,Category_058,Category_059,Category_061,Category_063,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_082,Category_087,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AR,05025,31,1,13,3,146,0,0,0,0,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,47,0,0,0,0,0,0,0,12,0,1685,0,7384,13017,237,38,4,8771,255338,1924,59182,20391,126148,74,31,1,3,168,0,0,38,0,0,0
AR,05027,56,3,8,0,226,0,0,0,0,0,0,0,0,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,5,0,5118,0,16281,13578,1632,503,9,38633,397471,10053,70245,30782,48811,36,56,3,0,267,0,0,47,0,0,0
AR,05029,3901,32,855,638,14859,0,0,0,0,0,0,0,0,506,0,5606,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,448,18,0,0,0,0,56,0,0,21,1,11257,0,22794,4936,499,144,142,137341,89071,11377,3909,141059,18426,139,3901,32,638,20465,0,0,6112,1,0,0
AR,05031,23315,113276,95104,2672,131280,5,0,0,0,0,0,0,0,901,0,13669,0,2,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,11,7,0,0,28,0,0,2,0,2546,588,0,0,0,0,0,0,0,214,22,5619,0,45705,9092,3449,986,436,41799,1911,1383,342,48178,46005,55,23315,113276,2672,144949,0,0,14570,2,0,0
AR,05033,3758,0,0,329,6368,0,0,0,0,0,0,0,0,307,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,15,29,0,0,0,0,0,0,0,0,0,10827,0,21733,9547,1864,469,432,262916,29203,5284,489,142108,2086,229,3758,0,329,7150,0,0,1089,0,0,0
AR,05035,14418,48270,40353,10215,171972,6,0,0,0,0,0,0,0,8736,0,62698,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,2,0,0,2,0,0,0,0,2899,1979,0,0,0,0,7,0,0,648,2,26534,0,35535,8063,2774,837,835,1344,1240,310,1671,17189,67654,141,14418,48270,10215,234670,0,0,71434,7,0,0
AR,05037,10948,7399,99862,10417,164170,3,0,0,0,0,0,0,0,3153,0,48716,0,8,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,2,0,0,0,7,0,0,0,0,1943,1239,0,0,0,0,3,0,0,395,3,8164,0,27772,3034,523,123,121,46472,1240,1346,2235,29101,45557,45,10948,7399,10417,212886,0,0,51869,8,0,0
AR,05039,19,0,16,0,129,0,0,0,0,0,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,154,0,0,0,0,0,0,0,6,0,1127,0,11972,17003,604,105,8,15415,349148,2427,71087,14962,67547,108,19,0,0,148,0,0,27,0,0,0
AR,05041,44622,82390,36587,11814,113888,5,0,0,0,0,0,0,0,12425,0,24351,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,21,0,0,0,1,0,0,0,0,7323,6814,0,0,0,0,83,0,0,749,302,56477,0,28112,2762,682,207,2887,310,1218,662,4519,17052,220407,132,44622,82390,11814,138239,0,0,36776,3,0,0
AR,05043,13139,22465,10730,2235,25748,2,0,0,0,0,0,0,0,1692,0,5358,0,151,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5591,2674,0,0,0,0,5,0,0,233,33,6593,0,17340,18374,928,296,35,9889,244392,5718,104910,38769,152479,356,13139,22465,2235,31106,0,0,7050,151,0,0
AR,05045,1722,20,1856,31,6689,0,0,0,0,0,0,0,0,56,0,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,279,348,0,0,0,0,2,0,0,33,1,14091,0,30071,13374,2728,1398,177,183063,34597,9449,2477,227926,14702,124,1722,20,31,9979,0,0,3346,0,0,0
AR,05047,637,0,4,0,919,0,0,0,0,0,0,0,0,1,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,1,0,9332,0,21514,6459,444,72,160,191277,74737,11178,4182,189349,1052,94,637,0,0,1100,0,0,182,0,0,0
AR,05049,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2346,0,23291,2202,120,24,80,306356,7052,7837,18,162828,131,0,4,0,0,1,0,0,0,0,0,0
AR,05051,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,47196,0,40034,13134,3573,1360,132,241306,170407,33109,1483,54103,806,3,1,0,0,5,0,0,1,0,0,0
AR,05053,34,1,17,10,320,0,0,0,0,0,0,0,0,5,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,46,63,0,0,0,0,1,0,0,10,0,1583,0,15610,15603,740,262,8,18138,276851,1436,60267,29399,102305,19,34,1,10,390,0,0,75,0,0,0
AR,05055,26789,26165,88502,1619,94541,2,0,0,0,0,0,0,0,383,0,7604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,9,14,0,0,9,0,0,0,0,925,87,0,0,0,0,0,0,0,94,740,9177,0,27838,3816,1155,381,265,92056,6131,3412,663,57427,28835,38,26789,26165,1619,102145,0,0,7987,0,0,0
AR,05057,114,26,16,3,715,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,389,0,0,0,0,3,0,0,259,1,11239,0,25787,8513,1023,337,171,137643,174086,15392,32379,166794,36989,309,114,26,3,723,0,0,24,0,0,0
AR,05059,93,1,128,7,2957,0,0,0,0,0,0,0,0,34,0,141,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,272,197,0,0,0,0,1,0,0,19,0,6869,0,24376,9989,1560,548,227,127079,212717,16173,27123,70526,12831,41,93,1,7,3098,0,0,175,0,0,0
AR,05061,1,0,2,0,17,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,6732,0,23685,4044,572,170,199,145827,147643,28093,2414,121516,10510,100,1,0,0,31,0,0,15,0,0,0
AR,05063,11519,167,13134,1814,35774,15,0,0,0,0,0,0,0,1049,0,6985,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,1639,984,1,0,0,0,3,0,0,1052,10,9872,0,31628,7367,1243,565,283,264094,28638,27033,1429,171588,19291,46,11519,167,1814,42759,0,0,8034,5,0,0
AR,05065,15,0,2,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2753,0,22703,3101,340,74,163,282130,24141,28457,189,118082,167,4,15,0,0,4,0,0,3,0,0,0
AR,05067,21746,1813,111861,8987,154632,20,0,0,0,0,0,0,0,2185,0,34023,0,1,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,0,0,477,0,0,0,0,5410,892,0,0,0,0,8,0,0,1182,98,9625,0,33595,3010,859,220,75,34891,1316,2460,379,32782,67110,79,21746,1813,8987,188655,0,0,36208,1,0,0
AR,05069,31708,24860,66452,5167,116604,15,0,0,0,0,0,0,0,10538,0,47294,0,5,2,0,0,0,0,0,18,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,9568,2483,0,0,0,0,12,0,0,1172,57,32063,0,29611,27384,6567,2359,211,37862,111044,2523,28219,38908,121687,103,31708,24860,5167,163898,0,0,57832,5,0,0
AR,05071,1160,0,0,0,1401,0,0,0,0,0,0,0,0,12,0,688,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,15750,0,26301,5468,770,177,126,293169,87112,10521,1009,116139,3615,459,1160,0,0,2089,0,0,700,0,0,0
AR,05073,12849,3479,1505,786,5327,1,0,0,0,0,0,0,0,10798,0,1860,0,4,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,61,0,0,0,0,1,0,0,167,7,21995,0,17316,7051,517,80,522,45240,173947,10374,43699,68841,22534,207,12849,3479,786,7187,0,0,12658,4,0,0
AR,05075,6528,631,99584,2137,108922,4,0,0,0,0,0,0,0,505,0,10716,0,45,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,4,0,0,0,19,0,0,0,0,2266,72,0,0,0,0,1,0,0,105,7,5271,0,28022,4337,1003,171,216,101814,3782,10926,337,67505,34223,49,6528,631,2137,119638,0,0,11221,45,0,0
AR,05077,39694,73661,28181,20744,113264,1,0,0,0,0,0,0,0,4613,0,34911,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,3877,3334,0,0,0,0,4,0,0,864,14,18325,0,26275,1018,190,31,597,21144,1183,805,2289,21167,95320,72,39694,73661,20744,148175,0,0,39524,7,0,0
AR,05079,10635,45231,29134,3454,72714,1,0,0,0,0,0,0,0,2479,0,9667,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,7157,2705,0,0,0,0,3,0,0,492,22,11679,0,20034,5741,349,87,64,18600,86998,3935,24276,30015,87038,80,10635,45231,3454,82381,0,0,12146,2,0,0
AR,05081,780,3,115,28,676,0,0,0,0,0,0,0,0,267,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,0,0,0,0,2,0,0,61,2,24570,0,15583,3004,550,147,1556,112087,125179,6908,9519,137292,27665,177,780,3,28,864,0,0,455,0,0,0
AR,05083,2977,5,2,0,1892,0,0,0,0,0,0,0,0,1,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,16769,0,22720,7299,659,138,371,170158,157352,28792,3890,185096,4599,359,2977,5,0,3008,0,0,1117,0,0,0
AR,05085,17758,23239,77355,7179,133907,91,0,0,0,0,0,0,0,5268,0,31406,0,4,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,1,0,0,0,8,0,0,0,0,10882,4325,0,0,0,0,147,0,0,1618,1456,32657,0,37250,6166,996,359,195,52943,11569,2468,2346,105393,95749,254,17758,23239,7179,165313,0,0,36674,4,0,0
AR,05087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,27848,2788,235,46,14,461384,6580,303,32,191672,177,0,0,0,0,4,0,0,4,0,0,0
AR,05089,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35579,0,22138,2623,293,57,356,321208,35390,6228,124,104790,65,3,4,0,0,3,0,0,0,0,0,0
AR,05091,22640,660,507,1344,9456,0,0,0,0,0,0,0,0,18884,0,3423,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,703,0,0,0,0,0,0,0,6787,1,19770,0,21686,16593,2886,771,656,69060,78219,22612,33935,143308,50883,1295,22640,660,1344,12879,0,0,22307,13,0,0
AR,05093,33399,264913,45373,3999,199417,8,0,0,0,0,0,0,0,3089,0,38722,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,82,143,0,0,0,0,0,0,0,852,570,0,0,0,0,1,0,0,349,34,24897,0,56430,6898,2190,624,357,1707,1098,59,1356,10795,61750,150,33399,264913,3999,238139,0,0,41811,4,0,0
AR,05095,38607,16172,46526,4092,83874,6,0,0,0,0,0,0,0,1939,0,32825,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10688,2131,0,0,0,0,3,0,0,4478,175,14903,0,26119,2183,336,69,60,3971,1523,2501,1979,14157,203806,76,38607,16172,4092,116699,0,0,34764,3,0,0
AR,05097,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15835,0,24777,2767,169,26,48,354893,147926,38119,440,75501,380,0,0,0,0,2,0,0,1,0,0,0
AR,05099,37,1,3,0,186,0,0,0,0,0,0,0,0,6,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,0,0,0,0,0,0,0,15,1,2164,0,16421,10061,394,83,30,53006,256937,9653,55659,65547,42329,41,37,1,0,221,0,0,41,0,0,0
AR,05101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,22477,956,79,12,4,567861,19476,1256,29,67498,62,0,0,0,0,0,0,0,0,0,0,0
AR,05103,52,1,48,2,649,0,0,0,0,0,0,0,0,20,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,297,99,0,0,0,0,0,0,0,38,5,8119,0,17379,24028,1682,341,480,12766,322376,7532,54611,18661,141337,138,52,1,2,690,0,0,61,0,0,0
AR,05105,575,8,1520,12,4654,0,0,0,0,0,0,0,0,23,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,134,140,0,0,0,0,1,0,0,10,0,9481,0,21682,2221,152,6,48,129032,196012,20799,6741,60431,8797,76,575,8,12,5022,0,0,391,0,0,0
AR,05107,70636,63581,22076,20999,156617,3,0,0,0,0,0,0,0,8054,0,33282,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,8,0,0,0,0,0,0,0,0,1984,3673,0,0,0,0,26,0,0,431,1,31197,0,33879,2718,595,155,1030,18277,2016,798,2316,21822,104448,58,70636,63581,20999,189899,0,0,41336,6,0,0
AR,05109,27,0,2,0,61,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,177,0,0,0,0,0,0,0,7,0,9717,0,24510,3668,334,59,91,158302,190462,31581,8656,73210,5964,9,27,0,0,63,0,0,2,0,0,0
AR,05111,13384,68549,146630,3575,177202,1,0,0,0,0,0,0,0,2277,0,31146,0,5,0,0,1,0,0,0,1,0,0,0,0,0,44,0,0,3,1,0,0,6,0,0,0,0,1381,3503,0,0,0,0,2,0,0,2580,78,13228,0,42894,3704,728,152,242,24773,1367,796,568,21059,70558,136,13384,68549,3575,208348,0,0,33423,5,0,0
AR,05113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1921,0,31886,4721,669,195,260,355634,167298,21825,794,126965,237,16,3,0,0,13,0,0,13,0,0,0
AR,05115,1387,46,1035,521,4632,0,0,0,0,0,0,0,0,166,0,1752,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,0,0,0,0,2,0,0,6,1,15793,0,26621,9839,2069,669,295,308086,138193,15741,1948,150799,6404,95,1387,46,521,6384,0,0,1918,0,0,0
AR,05117,12947,1971,74324,7236,126392,8,0,0,0,0,0,0,0,2815,0,32953,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,12,0,0,0,2,0,0,0,0,7139,5843,0,0,0,0,11,0,0,6152,243,31213,0,28076,1237,315,99,102,24243,9485,6290,2451,38771,137499,191,12947,1971,7236,159345,0,0,35768,2,0,0
AR,05119,4373,903,4251,2780,29125,9,0,0,0,0,0,0,0,1042,0,7911,0,2,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,266,0,0,0,6,0,0,0,0,2059,379,0,0,0,0,3,0,0,4377,36,39056,0,49107,59297,18980,9499,903,180546,87107,6518,8662,96019,53548,241,4373,903,2780,37036,0,0,8953,2,0,0
AR,05121,15452,206,33583,577,41084,0,0,0,0,0,0,0,0,86,0,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,249,27,0,0,0,0,0,0,0,93,3,5230,0,23590,2681,494,147,34,244770,4865,11683,381,122166,31412,46,15452,206,577,44051,0,0,3053,0,0,0
AR,05123,16326,33922,47717,14641,126456,2,0,0,0,0,0,0,0,11227,0,50600,0,46,1,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,3815,4087,0,0,0,0,3,0,0,1004,3,13028,0,38059,4321,695,189,67,39143,1469,1055,5056,28859,88660,92,16326,33922,14641,177056,0,0,61827,46,0,0
AR,05125,64,0,11,2,210,0,0,0,0,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,0,0,0,0,1,0,0,7,0,7551,0,35228,17386,2827,807,436,213798,206443,16542,19850,66125,15852,74,64,0,2,238,0,0,31,0,0,0
AR,05127,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2706,0,28189,3437,277,50,21,250325,317005,37567,490,100996,513,7,16,0,0,0,0,0,0,0,0,0
AR,05129,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,652,0,19306,1755,154,20,24,388576,8979,1979,54,130484,93,1,4,0,0,4,0,0,1,0,0,0
AR,05131,678,2,0,0,2523,0,0,0,0,0,0,0,0,82,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,9679,0,27350,20388,6359,2163,302,165162,35860,9687,2110,166124,2450,196,678,2,0,2649,0,0,208,0,0,0
AR,05133,112,0,0,0,87,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14023,0,21687,5129,458,96,174,137174,136179,18637,5069,110159,31064,70,112,0,0,138,0,0,51,0,0,0
AR,05135,17,2,0,0,37,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1753,0,25972,3106,377,71,78,322477,11586,24737,293,109562,689,5,17,2,0,52,0,0,15,0,0,0
AR,05137,192,0,6,0,49,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2655,0,19614,2498,212,44,31,353764,34947,12624,1120,75305,257,7,192,0,0,54,0,0,27,0,0,0
AR,05139,116,11,29,6,418,0,0,0,0,0,0,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,124,0,0,0,0,1,0,0,29,0,16325,0,20506,38111,3892,1023,88,7706,487625,16668,107815,14283,156474,113,116,11,6,447,0,0,43,0,0,0
AR,05141,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9805,0,26602,3490,247,48,70,367411,74529,16686,2159,96872,255,11,2,0,0,4,0,0,2,0,0,0
AR,05143,17,0,0,0,10,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5472,0,40601,18598,5550,1882,486,392237,4915,377,49,318935,459,1,17,0,0,14,0,0,8,0,0,0
AR,05145,7142,905,15086,2715,66116,13,0,0,0,0,0,0,0,2538,0,8954,0,1,1,0,0,0,0,0,35,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,16301,11172,0,0,0,0,12,0,0,11097,56,15277,0,35439,11756,2458,1021,376,188660,61107,25269,5458,265870,105551,309,7142,905,2715,75070,0,0,11492,1,0,0
AR,05147,21407,10316,71466,9723,143565,3,0,0,0,0,0,0,0,2522,0,32437,0,4,0,0,0,0,0,0,136,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,12831,5443,0,0,0,0,7,0,0,5467,59,9966,0,25789,1334,227,48,47,2306,3269,778,1254,18377,111669,181,21407,10316,9723,176002,0,0,34959,4,0,0
AR,05149,2552,27,28,32,6312,0,0,0,0,0,0,0,0,244,23,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0,2,0,0,2,2,15607,0,30637,5857,530,83,215,216422,264242,43456,5680,167770,23064,303,2552,27,32,6767,0,0,699,0,0,0
