StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_230,Category_231,Category_232,Category_234,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01025,600,2358,0,1,603,0,1418,0,0,0,0,0,0,0,154,0,142,158,12,9,0,5,0,0,0,0,0,6638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,1502,0,0,0,0,0,0,0,153,0,0,0,1,41656,0,95373,8291,3689,1381,2720,473992,1378232,567014,283921,133805,598421,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,601,2361,1,762,0,0,300,29,0,0
AL,01027,1573,47,0,2,139,0,1,0,0,0,0,0,0,0,62,0,57,0,0,1,0,0,0,0,0,0,0,24080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,430,0,0,0,0,0,0,0,0,0,0,0,0,4571,0,57876,2417,770,173,755,921000,478494,689,18267,231786,743,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,47,2,196,0,0,119,0,0,0
AL,01029,868,309,0,1,917,0,0,0,0,0,0,0,0,0,54,0,252,13,0,791,0,0,0,0,0,0,0,16203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1028,0,0,0,0,0,0,0,2,0,0,0,0,5181,0,58528,7796,1961,320,188,805060,451513,6703,16477,239238,820,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,873,309,1,1397,0,0,311,228,0,0
AL,01031,19648,46568,0,819,13644,16,50830,0,0,0,0,0,0,0,3485,0,2629,1676,5071,3151,0,0,0,0,0,0,0,115386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1323,0,163550,0,0,0,0,0,0,0,992,0,0,0,0,14988,0,94846,18784,5222,1966,161,234882,546433,210903,231071,107441,61136,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,60,0,1,0,0,0,0,9,0,641,581,0,0,0,0,0,0,0,0,0,0,0,19759,47209,828,16854,0,0,6815,5712,0,0
AL,01033,75500,34135,0,0,33190,3,0,0,0,0,0,0,0,0,4485,0,31771,31,0,65,0,0,0,0,0,0,0,31158,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,243,221,0,681,0,0,0,0,0,0,0,0,0,0,0,2,86018,0,88886,41756,12315,5146,2819,749134,79676,27783,148194,323542,17435,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75502,34135,0,64961,0,0,36258,0,0,0
AL,01035,5628,16073,0,80,1299,0,5674,0,1,0,0,0,0,0,552,0,1858,283,492,587,0,0,0,0,0,0,0,42236,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,553,0,38034,0,0,0,0,0,0,0,451,0,0,0,0,7466,0,68468,6967,1305,297,1486,464841,1033846,173495,196196,278396,107030,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,551,37,0,0,0,0,0,0,0,0,0,0,0,5635,16624,81,3194,0,0,2962,536,0,0
AL,01037,483,241,0,0,175,0,1,0,5,0,0,0,0,0,33,0,15,0,0,1,0,0,0,0,0,0,0,6112,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,5,1729,0,0,0,0,0,0,0,15,0,0,0,0,43095,0,79091,3763,482,43,310,900283,617864,6874,73558,182565,908,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,241,0,190,0,0,48,0,0,0
AL,01039,10751,42712,0,1883,2311,10,33677,0,0,0,0,0,0,0,2500,0,644,1744,1960,1861,0,0,0,0,0,0,0,111657,0,0,0,0,0,0,0,2,0,89,0,0,0,0,0,0,0,0,3,4544,0,151466,0,0,0,0,0,0,0,5111,0,0,0,0,32683,0,142943,20011,4315,1545,238,279946,1249502,261447,250097,291387,94674,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,12,0,378,774,0,0,0,0,0,0,0,0,0,0,0,10773,43090,1895,3729,0,0,3541,2749,0,0
AL,01041,9237,4736,0,255,1722,1,6308,0,0,0,0,0,0,0,278,0,298,100,665,727,0,0,0,0,0,0,0,85075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,339,0,29627,0,0,0,0,0,0,0,1878,0,0,0,0,8476,0,70867,6225,938,232,69,525480,532313,73577,153839,154965,89492,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,40,74,0,0,0,0,0,0,0,0,0,0,0,9243,4776,255,2094,0,0,619,742,0,0
AL,01043,9264,2565,0,23,31359,20,2,0,0,5,0,1,0,0,492,0,5367,29,0,31,0,0,0,0,0,0,5,20836,0,0,0,0,0,170,0,1137,0,537,0,0,0,0,0,0,0,0,0,334,0,130,0,0,0,0,0,0,0,0,0,0,0,8,46978,0,116070,43367,14747,4876,1469,693594,152767,37027,102040,883170,3719,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9272,2565,25,36727,1,0,5869,1,0,0
AL,01045,5109,21458,0,294,2567,8,59901,0,0,0,0,0,0,0,1322,0,1293,1027,3747,976,0,0,0,0,0,0,0,83514,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1308,0,116024,0,0,0,0,0,0,0,399,0,0,0,0,10229,0,82835,25293,9520,3746,49,304789,492102,65160,196810,68739,58925,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,658,0,0,0,0,0,0,29,0,427,603,0,0,0,0,0,0,0,0,0,0,0,5810,21885,323,4463,0,0,3114,5008,0,0
AL,01047,11821,16124,0,165,33708,21,16037,0,4,0,0,0,0,0,12610,0,16166,84,5,33,0,0,0,0,0,0,0,222932,0,0,0,0,0,0,0,0,1,162,0,0,0,6,0,0,0,0,869,767,0,1074,0,66,0,0,0,0,0,877,0,0,0,48,69022,0,128262,22095,7513,2966,1094,555170,553028,77810,253083,324158,519169,11350,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,46,0,0,9,0,0,11,0,0,0,0,1334,0,97,2,0,0,0,0,0,0,0,0,0,0,0,11830,16221,1499,49876,0,0,30216,7,0,0
AL,01049,46951,285,0,413,51834,0,0,0,10,1,0,28,0,0,634,0,33078,41,0,59,0,0,0,0,0,0,0,103963,0,0,0,0,35,0,0,3,0,714,0,0,0,0,0,0,0,0,286,162,0,569,0,0,12,0,3,0,0,0,0,0,0,0,6615,0,108469,38662,11153,3501,849,761378,116804,150173,43743,757441,2457,13,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,31,0,0,0,0,0,102,0,126,0,0,0,0,0,0,0,0,0,0,0,47069,285,413,85038,130,0,33728,126,0,0
AL,01051,8894,52236,0,4,3218,0,313,0,189,0,0,0,0,0,1811,0,108,6,133,43,0,0,0,0,0,0,0,100089,0,0,0,0,0,0,0,0,0,73,0,0,0,26,0,0,0,0,0,356,0,12120,0,0,0,0,0,0,0,162,0,0,0,0,108645,0,95447,21892,6875,1288,2642,597629,323205,88358,159612,237210,67898,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,1,4,0,1,0,0,0,0,0,0,0,0,0,8894,52237,9,3330,0,0,1925,137,0,0
AL,01053,20520,52354,0,368,11480,9,45918,0,248,0,0,0,0,0,5732,0,25203,1123,1562,1152,0,0,0,0,0,0,0,50977,0,0,0,0,0,0,0,14,0,86,0,0,0,0,0,0,0,0,0,6456,0,49248,0,9,0,0,0,0,0,637,0,0,0,0,14977,0,82436,23074,5401,1496,5873,75056,1215549,95069,369045,298658,277423,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0,0,0,0,0,0,10,0,3013,307,0,0,0,0,0,0,0,0,0,0,0,20559,55367,378,36990,0,0,33972,1894,0,0
AL,01055,14000,7152,0,190,28359,0,0,0,0,0,0,1,0,0,96,0,4207,1,0,74,0,0,0,0,0,0,0,32257,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,90,0,10381,0,4,0,0,0,0,0,0,0,0,0,0,39555,0,124259,69761,16523,8539,753,601986,132800,65147,41674,374049,7362,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14019,7152,190,32566,2,0,4321,0,0,0
AL,01057,10038,1686,0,4,15233,0,29,0,0,0,0,0,0,0,279,0,498,5,11,3,0,0,0,0,0,0,0,28446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,8758,0,0,0,0,0,0,0,7,0,0,0,6,4582,0,67712,5788,1970,693,796,824752,349102,131434,195830,132517,30674,93,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10038,1686,4,15735,0,0,777,15,0,0
AL,01059,11915,473,0,1,11071,0,0,0,0,0,0,0,0,0,623,0,6001,9,0,177,0,1,0,0,0,0,0,16236,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,2,152,0,505,0,0,0,0,0,0,0,1,0,0,0,2,33987,0,68459,22043,6597,1525,1622,833498,176438,41353,231991,389094,6398,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11915,473,1,17073,0,0,6624,1,0,0
AL,01061,14784,65138,0,2237,13700,344,82840,0,0,0,0,0,0,0,9149,0,1124,14094,16196,1568,0,0,0,0,0,0,0,95871,0,0,0,0,0,0,0,0,0,10,0,0,0,61,0,0,0,0,5,3743,0,241182,0,0,0,0,0,0,0,315,0,0,0,0,15923,0,82578,10107,1692,554,172,43776,456137,38615,199452,130169,119870,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,799,0,0,0,0,0,0,213,0,1868,507,0,0,0,0,0,0,0,0,0,0,0,15833,67006,2450,15331,0,0,12604,17502,0,0
AL,01063,1291,816,0,83,8833,0,96,0,0,0,0,0,0,0,2498,0,419,0,0,8,0,4,0,0,0,0,0,26126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,201319,0,0,0,0,0,0,0,10,0,0,0,908,64913,0,69943,5819,795,203,224,377494,230071,118136,121503,190335,474972,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,816,83,9252,0,0,2946,0,0,0
AL,01065,5002,143,0,49,15211,0,1809,0,0,0,0,0,0,0,1060,0,3869,0,0,3,0,12,0,0,0,0,0,104407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,5585,0,0,0,0,0,0,0,1,0,0,0,24679,54756,0,62948,5485,960,165,216,431515,253207,125226,134309,328524,326791,2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5492,143,49,19080,0,0,5419,0,0,0
AL,01067,8573,58722,0,2051,2353,2,95198,0,0,0,0,0,0,0,7008,0,1143,3342,5433,10951,0,0,0,0,0,0,0,115050,0,0,0,0,0,0,0,10,0,4,0,0,0,1,0,0,0,0,19,4574,0,69910,0,0,0,0,0,0,0,492,0,0,0,0,23030,0,61770,13542,2481,510,123,335508,397514,73308,190997,103360,46323,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,143,0,0,0,0,0,0,343,0,1376,15,0,4,0,0,0,0,0,0,0,0,0,8752,60098,2394,3511,0,0,9906,5591,0,0
AL,01069,7015,68814,0,1181,11039,83,179109,0,0,0,0,0,0,0,3366,0,2612,2888,12434,3529,0,0,0,0,0,0,0,143234,0,0,0,0,0,1,0,8,0,103,0,0,0,73,0,0,0,0,12,2152,0,168427,0,0,0,0,0,0,0,542,0,0,0,0,8614,0,106029,45061,15499,7521,67,78420,375037,8790,171274,127617,119219,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,668,0,0,0,0,0,0,571,0,1606,202,0,25,0,0,0,0,0,0,0,0,0,8112,70420,1752,13853,0,0,8584,13304,0,0
AL,01071,97419,10121,0,207,114070,0,0,0,77,0,0,7,0,0,605,0,32035,10,0,95,0,0,0,0,0,0,0,127991,0,0,0,0,110,0,0,3,0,285,0,0,0,3,0,0,0,0,7,28,0,254,0,0,513,0,15,0,0,0,0,0,0,0,139513,0,87009,34193,9978,3371,620,1749073,104428,96938,73919,529502,28478,149,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,98810,10121,207,146105,9,0,34029,0,0,0
AL,01073,1250,459,0,8,2472,14,16,0,0,1,0,0,0,0,412,0,327,7,12,36,0,0,0,0,0,0,0,15024,0,0,0,0,0,11,0,10,0,421,0,0,0,1,0,0,0,0,0,204,3,383,0,1,0,0,0,0,0,4,0,0,0,7,39493,0,443958,306609,107915,44737,22583,1169871,566258,58675,97988,348913,3989,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,1,0,0,1,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1252,459,20,2800,1,0,752,13,0,0
AL,01075,8066,373,0,178,8884,0,825,0,0,0,0,0,0,0,1010,0,65,1,2,9,0,2,0,0,0,0,0,27156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,8131,0,0,0,0,0,0,0,0,0,0,0,2,5039,0,69316,6572,1425,559,133,769763,216763,122256,237957,117057,140634,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8066,373,178,8949,0,0,1075,2,0,0
AL,01077,76714,49906,0,0,36630,10,0,0,0,1,0,0,0,0,2690,0,40380,287,3,252,0,0,0,0,0,0,0,171427,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,137,1591,0,1677,0,0,0,0,0,0,0,0,0,0,0,3,141298,0,130993,38713,9952,2955,308,674815,57905,18632,112723,486074,11408,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,181,0,0,0,0,0,0,0,0,0,0,0,76717,49906,3,77191,0,0,43076,184,0,0
AL,01079,137935,57107,0,0,35861,18,1,0,0,0,0,0,0,0,784,0,39539,35,0,172,0,0,0,0,0,0,0,37923,0,0,0,0,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,97,0,689,0,0,0,0,0,0,0,0,0,0,0,7,72149,0,80252,15705,5462,1455,368,657977,142832,87608,65446,576226,50774,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,137937,57107,0,75415,0,0,40325,15,0,0
AL,01081,3282,3377,0,183,293,4,5015,0,0,0,0,0,0,0,559,0,62,77,129,183,0,0,0,0,0,0,0,31692,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,28,0,31754,0,0,0,0,0,0,0,234,0,0,0,2,31016,0,115637,67063,17844,6590,806,616251,424911,21727,103201,285030,5549,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,6,0,0,0,0,10,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3289,3382,193,355,0,0,638,134,0,0
AL,01083,76396,52116,0,7,133342,167,2,0,0,8,0,0,0,0,2454,0,148711,748,0,744,0,0,0,0,0,0,25,100441,0,0,0,0,0,198,0,16,0,6,0,0,0,0,0,0,0,0,0,89,0,813,0,0,0,0,0,0,0,0,0,0,0,2,113896,0,93420,33110,9915,2106,783,402909,37846,19735,31179,447919,38253,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76404,52116,17,282053,0,0,151183,0,0,0
AL,01085,6416,4077,0,2,10268,4,4908,0,10,0,0,0,0,0,2342,0,152,21,1,89,0,0,0,0,0,0,0,217332,0,0,0,0,0,0,0,0,0,37,0,0,0,8,0,0,0,0,0,5248,0,696,0,0,0,0,0,0,0,630,0,0,0,0,28864,0,81469,8158,1265,341,460,547298,361546,20266,256177,289737,229842,8509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6416,4077,238,10420,0,0,2730,1,0,0
AL,01087,6697,13052,0,21,1561,3,6569,0,0,0,0,0,0,0,857,0,453,1,157,32,0,0,0,0,0,0,0,42275,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,806,0,76097,0,0,0,0,0,0,0,648,0,0,0,0,16901,0,77743,14070,2744,456,1691,342737,402544,190077,202784,173732,189540,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,6707,13053,21,2018,0,0,1319,163,0,0
