StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01021,2282,3987,0,66,6519,53,63,0,112,0,0,0,0,0,28,0,1524,0,5,33,0,1,0,0,0,0,8,34568,0,0,0,0,0,0,0,0,0,148,0,0,0,630,0,0,0,0,0,223,0,1157,0,28,24,0,0,0,0,117,0,0,0,0,26941,0,87253,20986,6880,1740,4643,746033,483792,64885,273793,243987,3943,183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,3987,66,8043,0,0,1552,5,1,0
AL,01023,316,2339,0,2,489,1,22,0,0,0,0,0,0,0,25,0,8,0,11,14,0,0,0,0,0,0,0,6276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2375,0,0,0,0,0,0,0,23,0,0,0,10,27328,0,78900,4328,2108,596,1120,447167,921088,356008,402376,111035,285506,506,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,318,2347,2,497,0,0,41,13,0,0
AL,01025,763,2471,0,143,527,19,1288,0,0,0,0,0,0,1,53,0,80,0,24,166,0,0,0,0,0,0,0,11243,0,0,0,0,0,0,0,40,1,0,0,0,0,3,0,0,0,0,0,57,0,3134,0,0,0,0,0,0,0,244,0,0,0,2,44468,0,95072,8460,4450,1543,4221,353325,1309335,489302,516416,157075,593165,7240,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,769,2502,144,607,0,0,165,30,0,0
AL,01027,2704,134,0,9,976,0,1,0,0,0,0,0,0,0,13,0,130,18,1,6,0,1,0,0,0,0,0,20351,0,0,0,2,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,358,0,1,0,0,0,0,0,13,0,0,0,0,6114,0,58495,2399,1137,369,1782,911074,481024,986,101499,153918,395,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,134,9,1106,0,0,143,1,0,0
AL,01029,4939,244,0,368,1084,0,6,0,0,0,0,0,0,0,11,0,85,252,77,78,0,0,0,0,0,0,0,15748,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,380,0,0,0,0,0,0,0,0,0,0,0,0,6587,0,57909,8608,2183,358,1695,762288,507515,9727,101009,132667,560,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4939,244,368,1169,0,0,96,77,0,0
AL,01031,32154,74413,0,1965,29663,3,59686,0,0,0,0,0,0,1,1412,0,133,258,5740,7508,0,0,0,0,0,0,0,141669,0,0,0,0,0,0,0,0,0,4,0,22,0,22,0,0,0,25,20,1680,0,18435,0,18,0,0,0,0,0,1175,0,0,0,24,16378,0,96805,20870,7411,2330,249,215304,590486,174851,326057,68960,60495,1265,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,214,0,0,4,0,425,24,0,5,0,0,0,0,0,0,0,0,0,32371,74838,1969,29820,0,0,1977,5978,0,0
AL,01033,86622,14385,0,1293,41721,0,107,0,0,0,0,0,0,0,1888,0,84446,0,1,4,0,14,0,0,0,0,0,17693,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,343,0,1212,0,3,1,0,0,0,0,2,0,0,0,13,87351,0,89907,39862,14907,5401,4049,709693,114689,25404,208155,218710,26580,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86622,14385,1326,126167,0,0,86367,1,0,0
AL,01035,5656,34716,0,162,3409,13,7997,0,0,0,0,0,0,0,949,0,85,701,379,174,0,0,0,0,0,0,0,69409,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,195,0,3109,0,1,0,0,0,0,0,388,0,0,0,0,8940,0,66807,7885,1775,493,2537,429584,1081040,128270,368619,136201,94363,708,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5657,34725,173,3494,0,0,1054,380,5,0
AL,01037,449,313,0,9,1217,2,0,0,0,0,0,0,0,0,2,0,71,0,1,8,0,0,0,0,0,0,0,5814,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,3,0,236,0,0,0,0,0,0,0,5,0,0,0,0,45187,0,79091,3556,741,83,1476,864327,655115,11468,162898,84138,1392,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,313,9,1288,0,0,73,1,0,0
AL,01039,20680,83000,0,431,21842,30,29657,0,0,0,0,0,0,0,590,0,99,406,646,2307,0,0,0,0,0,0,0,119538,0,0,0,0,0,0,0,0,0,15,0,1,0,12,0,0,0,125,146,3937,0,28647,0,27,0,0,0,0,0,2798,0,0,0,1,35545,0,140980,21499,5619,1883,930,309736,1246603,242780,396991,184111,100666,1197,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,3,462,0,6,11,0,0,13,0,5,0,0,0,0,0,0,0,0,0,21145,83000,442,21954,0,0,703,1121,9,0
AL,01041,9209,5297,0,204,7397,66,5272,0,0,0,0,0,0,0,2109,0,895,114,369,162,0,0,0,0,0,0,0,87004,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,224,69,0,10791,0,0,1,0,0,0,0,550,0,0,0,15,10133,0,70032,6998,1384,306,345,535525,518746,47587,257758,83761,94899,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,308,0,5,159,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9517,5297,363,8294,0,0,3163,679,0,0
AL,01043,13559,2905,0,706,49108,0,26,0,0,0,0,0,0,0,299,0,7809,1,1,84,0,44,0,0,0,0,64,56730,0,0,0,0,34,0,0,2375,0,125,0,0,0,0,0,0,0,0,7,100,0,543,0,0,3,0,2,0,0,9,0,0,0,0,49022,0,121405,47485,17109,5741,4433,731896,184524,48090,220487,599447,7505,310,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,105,0,0,23,0,1,0,0,0,0,0,0,0,0,0,13559,2905,811,56940,0,0,8213,24,0,0
AL,01045,7172,56151,0,1680,2075,2,48415,0,0,0,0,0,0,3,1086,0,65,17920,9140,1436,0,0,0,0,0,0,0,74342,0,0,0,0,0,89,0,0,0,9,0,79,0,0,0,0,0,112,53,2314,0,63716,0,0,0,0,0,0,0,674,0,0,0,0,11236,0,80745,25712,10322,4155,237,295873,476675,59600,278591,19467,68898,857,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,14,0,225,164,0,32,0,0,0,0,0,0,0,0,0,7179,56376,1694,2304,0,0,1394,9307,0,0
AL,01047,18161,46395,0,780,57888,1,5926,0,0,0,0,0,0,0,8691,0,2385,0,21,369,0,0,0,0,0,0,0,152655,0,0,0,0,0,0,0,7,0,57,0,0,0,0,0,0,0,0,1,755,0,15995,0,0,0,0,0,0,0,1346,0,0,0,0,73072,0,130548,22026,9244,3702,3249,525089,624606,80132,333234,250495,476842,16009,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,67,0,4,13,0,0,0,0,0,0,0,0,0,0,0,18175,46399,847,60286,0,0,11147,48,13,0
AL,01049,48517,1952,0,64,75749,4,2,0,140,0,0,0,0,0,274,0,13542,5,135,37,0,33,0,0,0,0,1,87342,0,0,0,0,770,0,0,0,0,36,0,0,0,4,0,0,0,0,0,134,0,1811,0,12,8,0,124,0,0,3,0,0,0,0,9211,0,114645,39020,12699,4336,3963,786616,129907,156457,161111,586824,3151,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,364,1,0,0,1723,0,0,0,0,0,0,0,0,0,0,141,48517,1952,65,91155,141,0,13817,1858,0,0
AL,01051,13412,41378,0,770,17253,329,1046,0,2,0,0,0,0,0,384,0,2251,27,142,78,0,0,0,0,0,0,0,74796,0,0,0,0,0,0,0,0,0,133,0,0,0,3,0,0,0,2,26,553,0,48952,0,0,3,0,0,0,0,166,0,0,0,0,112036,0,101936,26487,9360,2215,5174,604187,339328,81056,202625,128757,74224,1898,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,0,12,60,0,1,5,0,0,0,0,0,0,0,0,0,0,0,13439,41379,830,19509,0,0,2696,174,1,0
AL,01053,28652,125014,0,2854,20373,4,65335,0,1,0,0,0,0,0,547,0,1838,73,28,4994,0,0,0,0,0,0,0,54954,0,0,0,0,0,56,0,22,9,0,0,0,0,0,0,0,0,2,0,942,0,13181,0,0,0,0,42,0,0,627,0,0,0,1,21120,0,77859,24076,7070,2102,9348,63242,1263467,90999,428306,144964,284272,4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,9,9,0,1911,6,0,0,0,0,0,0,0,0,0,0,0,28678,126925,2863,22217,0,0,4305,60,0,0
AL,01055,13348,17922,0,63,20248,0,4,0,1,0,0,0,0,0,72,0,2636,0,0,12,0,27,0,0,0,0,0,27965,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,2,233,0,16275,0,5,0,0,26,0,0,0,0,0,0,0,41530,0,140816,73114,20710,9623,2352,597939,172019,75069,111074,228432,7588,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,13348,17922,64,22915,0,0,2709,31,0,0
AL,01057,8265,7025,0,231,14072,0,15,0,0,0,0,0,0,0,178,0,262,0,0,1,0,0,0,0,0,0,0,39371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0,7137,0,0,0,0,0,0,0,0,0,0,0,12,6318,0,67955,5626,2307,756,1565,766973,364408,115822,310978,48031,43475,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8265,7025,232,14334,0,0,441,0,0,0
AL,01059,7045,1468,0,208,31551,0,13,0,0,0,0,0,0,0,2918,0,4694,0,0,1,0,5,0,0,0,0,0,35187,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,38,0,672,0,0,0,0,0,0,0,0,0,0,0,30,36803,0,71928,21368,8319,2049,2863,804114,211054,35965,309552,264565,7963,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7045,1468,255,36245,0,0,7659,0,0,0
AL,01061,33042,119373,0,3506,19947,0,116016,0,0,0,0,0,0,565,1303,0,131,3227,8083,17342,0,0,0,0,0,0,0,108792,0,0,0,0,0,0,0,0,0,11,0,120,0,61,0,0,0,431,20,3464,0,68296,0,0,5,0,0,0,0,348,0,0,0,2,16898,0,79036,10201,2147,622,179,41624,536767,29914,235862,76823,129046,1279,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,235,0,0,2,0,252,90,0,681,0,0,0,0,0,0,0,0,0,33391,119625,3508,20168,0,0,1802,8408,0,0
AL,01063,5557,503,0,13,5430,0,40,0,0,0,0,0,0,0,79,0,163,0,0,0,0,0,0,0,0,0,0,19174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,264840,0,0,0,0,0,0,0,28,0,0,0,309,56059,0,70022,6247,1190,341,253,338260,296148,100098,189870,73787,469416,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5557,506,13,5593,0,0,245,0,0,0
AL,01065,7615,157,0,112,28470,0,712,0,0,0,0,0,0,0,255,0,3059,0,0,0,0,0,0,0,0,0,0,58822,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,150,0,13744,0,0,0,0,0,0,0,18,0,0,0,1593,83496,0,64946,5669,1053,187,827,396008,254917,130818,190435,314309,330906,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7615,159,174,31529,0,0,3378,0,0,0
AL,01067,7559,87963,0,4181,5848,0,84384,0,0,0,0,0,0,0,2433,0,538,31093,12079,1809,0,0,0,0,0,0,0,102507,0,0,0,1,0,178,0,0,0,11,0,72,0,1,0,0,0,16,80,6996,0,49477,0,0,0,0,0,0,0,380,0,0,0,0,24085,0,58394,14450,2503,582,490,249902,458399,76165,286297,18649,41671,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,7,0,0,4,0,4184,310,0,167,0,0,0,0,0,0,0,0,0,8357,92147,4185,6696,0,0,7950,12396,0,0
AL,01069,7891,117052,0,4997,5986,0,176198,0,0,0,0,0,0,0,1179,0,384,7997,7216,3044,0,0,0,0,0,0,0,148169,0,0,0,0,0,22,0,0,0,93,0,6294,0,16,0,0,0,568,18,2364,0,138709,0,0,3,0,0,0,0,835,0,0,0,0,9495,0,102457,47914,17160,8713,278,60342,420313,10124,206938,41468,117087,1059,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,3,0,0,2,0,431,57,0,0,0,0,0,0,0,0,0,0,0,8741,117483,4999,6427,0,0,2843,7276,0,0
AL,01071,101586,11042,0,1241,147725,0,4,0,162,0,0,0,0,0,317,0,21971,1,4,77,0,104,0,0,0,0,40,62882,0,0,0,0,816,0,0,0,0,26,0,0,0,0,0,0,0,0,0,100,0,2742,0,58,254,0,187,0,0,31,0,0,0,0,140869,0,91062,34145,11129,4359,1940,1805106,114538,106630,173129,375563,30935,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,1231,3,0,95,0,0,0,107,0,0,0,0,0,0,0,0,0,0,2,102820,11042,1241,169805,2,0,23519,114,0,0
AL,01073,1322,225,0,104,2290,0,13,0,0,0,0,0,0,0,22,0,239,0,0,77,0,1,0,0,0,0,7,12216,0,0,0,0,0,0,0,2,0,16,0,0,0,2,0,0,0,0,0,20,0,576,0,0,0,0,2,0,0,6,0,0,0,0,40774,0,445170,303267,128571,53283,32206,1166924,593836,72836,231971,140737,7116,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,225,108,2529,0,0,265,0,0,0
AL,01075,3699,4161,0,57,8208,0,2868,0,0,0,0,0,0,0,332,0,789,0,0,0,0,0,0,0,0,0,0,27544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,6394,0,0,0,0,0,0,0,10,0,0,0,4,6416,0,69858,6633,1934,516,424,698124,231390,92792,355037,61800,161989,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,3700,4486,57,8997,0,0,1446,1,0,0
AL,01077,96310,34441,0,1316,75949,0,18,0,0,0,0,0,0,0,1300,0,68978,0,4,3,0,8,0,0,0,0,0,65525,0,0,0,0,0,45,0,2,0,13,0,0,0,0,0,0,0,0,27,843,0,1379,0,16,3,0,0,0,0,10,0,0,0,0,141206,0,133966,38737,12828,4138,906,682032,67234,19799,185873,406607,27258,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,489,0,0,48,0,0,371,0,0,0,0,0,0,0,0,0,0,0,97115,34441,1364,145298,0,0,70642,864,0,0
AL,01079,99615,22867,0,3106,116654,0,3923,0,0,0,0,0,0,0,2069,0,103808,0,2,126,0,3,0,0,0,0,0,44311,0,0,0,0,0,5,0,1,0,18,0,0,0,0,0,0,0,0,3,187,0,843,0,0,0,0,0,0,0,0,0,0,0,0,74470,0,78653,16782,6597,1735,1874,671737,159271,77507,143388,377793,58921,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99617,22867,3166,220463,0,0,105939,3,0,0
AL,01081,1613,2018,0,141,8031,47,1806,0,0,0,0,0,0,0,631,0,38,116,330,29,0,0,0,0,0,0,1,23039,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,580,0,3279,0,3308,0,0,0,0,0,0,0,120,0,0,0,0,35660,0,121229,72950,23543,8038,4708,606194,441248,17573,226711,161146,7975,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,38,7,0,0,0,0,0,0,0,0,0,0,0,1672,2056,141,8076,0,0,707,396,0,0
AL,01083,79659,31282,0,11567,221924,3,36,0,0,0,0,0,0,0,2284,0,157481,825,51,117,0,291,0,0,0,0,27,40430,0,0,0,0,1,26,0,36,0,3,0,0,0,0,0,0,0,0,5,101,0,677,0,0,0,0,1,0,0,15,0,0,0,0,114150,0,94752,37176,12979,3044,1907,413549,40478,20246,99521,317687,44443,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,2,425,0,0,11,0,0,0,0,0,0,0,0,0,0,16,79668,31282,11992,379432,16,0,160199,62,0,0
AL,01085,7820,7153,0,225,27262,41,585,0,0,0,0,0,0,0,1317,0,251,1,87,43,0,0,0,0,0,0,0,159421,0,0,0,0,0,0,0,0,0,26,0,0,0,14,0,0,0,0,0,4119,0,33741,0,1,0,0,0,0,0,2302,0,0,0,0,33118,0,81366,8505,1628,454,721,474705,424173,24921,287725,234886,262344,7401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,41,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7861,7153,227,27516,0,0,1570,131,0,0
AL,01087,2899,20200,0,586,11391,1,1524,0,0,0,0,0,0,0,2283,0,25,317,873,63,0,0,0,0,0,0,0,35513,0,0,0,0,0,160,0,0,0,5,0,0,0,0,0,0,0,2627,137,8891,0,22383,0,0,0,0,0,0,0,1060,0,0,0,0,21037,0,76914,14457,3346,656,4873,343018,410034,184600,274240,118034,200223,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,33,0,86,24,0,0,0,0,0,0,0,0,0,0,0,2937,20286,619,11440,0,0,2427,935,0,0
AL,01089,115717,89127,0,1126,151571,0,68,0,0,0,0,0,0,0,1023,0,109586,3,4,414,0,11,0,0,0,0,18,40007,0,0,0,0,4,1,0,224,0,6,0,0,0,2,0,0,0,0,0,84,0,916,0,3,1,0,37,0,0,16,0,0,0,0,26576,0,251222,191498,60163,21396,4072,699132,63266,18034,98388,345856,47949,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,26,0,0,6,256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115743,89127,1382,261158,0,0,110891,5,0,0
